pmid,title,journal,pubtypes,abstract,mesh_terms,pubmed_url
32252538,Stanford Accelerated Intelligent Neuromodulation Therapy for Treatment-Resistant Depression.,The American journal of psychiatry,"Clinical Trial; Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't","OBJECTIVE: New antidepressant treatments are needed that are effective, rapid acting, safe, and tolerable. Intermittent theta-burst stimulation (iTBS) is a noninvasive brain stimulation treatment that has been approved by the U.S. Food and Drug Administration for treatment-resistant depression. Recent methodological advances suggest that the current iTBS protocol might be improved through 1) treating patients with multiple sessions per day at optimally spaced intervals, 2) applying a higher overall pulse dose of stimulation, and 3) precision targeting of the left dorsolateral prefrontal cortex (DLPFC) to subgenual anterior cingulate cortex (sgACC) circuit. The authors examined the feasibility, tolerability, and preliminary efficacy of Stanford Accelerated Intelligent Neuromodulation Therapy (SAINT), an accelerated, high-dose resting-state functional connectivity MRI (fcMRI)-guided iTBS protocol for treatment-resistant depression. METHODS: Twenty-two participants with treatment-resistant depression received open-label SAINT. fcMRI was used to individually target the region of the left DLPFC most anticorrelated with sgACC in each participant. Fifty iTBS sessions (1,800 pulses per session, 50-minute intersession interval) were delivered as 10 daily sessions over 5 consecutive days at 90% resting motor threshold (adjusted for cortical depth). Neuropsychological testing was conducted before and after SAINT. RESULTS: One participant withdrew, leaving a sample size of 21. Nineteen of 21 participants (90.5%) met remission criteria (defined as a score <11 on the Montgomery-Åsberg Depression Rating Scale). In the intent-to-treat analysis, 19 of 22 participants (86.4%) met remission criteria. Neuropsychological testing demonstrated no negative cognitive side effects. CONCLUSIONS: SAINT, an accelerated, high-dose, iTBS protocol with fcMRI-guided targeting, was well tolerated and safe. Double-blinded sham-controlled trials are needed to confirm the remission rate observed in this initial study.","Adult; Clinical Protocols; Cognition; Depressive Disorder, Treatment-Resistant; Female; Functional Neuroimaging; Gyrus Cinguli; Humans; Magnetic Resonance Imaging; Male; Monitoring, Physiologic; Neuropsychological Tests; Prefrontal Cortex; Psychiatric Status Rating Scales; Remission Induction; Transcranial Magnetic Stimulation",https://pubmed.ncbi.nlm.nih.gov/32252538/
34711062,Stanford Neuromodulation Therapy (SNT): A Double-Blind Randomized Controlled Trial.,The American journal of psychiatry,"Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't","OBJECTIVE: Depression is the leading cause of disability worldwide, and half of patients with depression have treatment-resistant depression. Intermittent theta-burst stimulation (iTBS) is approved by the U.S. Food and Drug Administration for the treatment of treatment-resistant depression but is limited by suboptimal efficacy and a 6-week duration. The authors addressed these limitations by developing a neuroscience-informed accelerated iTBS protocol, Stanford neuromodulation therapy (SNT; previously referred to as Stanford accelerated intelligent neuromodulation therapy, or SAINT). This protocol was associated with a remission rate of ∼90% after 5 days of open-label treatment. Here, the authors report the results of a sham-controlled double-blind trial of SNT for treatment-resistant depression. METHODS: Participants with treatment-resistant depression currently experiencing moderate to severe depressive episodes were randomly assigned to receive active or sham SNT. Resting-state functional MRI was used to individually target the region of the left dorsolateral prefrontal cortex most functionally anticorrelated with the subgenual anterior cingulate cortex. The primary outcome was score on the Montgomery-Åsberg Depression Rating Scale (MADRS) 4 weeks after treatment. RESULTS: At the planned interim analysis, 32 participants with treatment-resistant depression had been enrolled, and 29 participants who continued to meet inclusion criteria received either active (N=14) or sham (N=15) SNT. The mean percent reduction from baseline in MADRS score 4 weeks after treatment was 52.5% in the active treatment group and 11.1% in the sham treatment group. CONCLUSIONS: SNT, a high-dose iTBS protocol with functional-connectivity-guided targeting, was more effective than sham stimulation for treatment-resistant depression. Further trials are needed to determine SNT's durability and to compare it with other treatments.","Depressive Disorder, Treatment-Resistant; Double-Blind Method; Gyrus Cinguli; Humans; Prefrontal Cortex; Transcranial Magnetic Stimulation; Treatment Outcome",https://pubmed.ncbi.nlm.nih.gov/34711062/
34133991,Seizure risk with repetitive TMS: Survey results from over a half-million treatment sessions.,Brain stimulation,Journal Article,"BACKGROUND: Seizures are rare during repetitive transcranial magnetic stimulation (rTMS) treatment, but estimating risk is difficult because of study heterogeneity and sampling limitations. Moreover, there are few studies comparing rates between device manufacturers. OBJECTIVE: The objective of this study was to calculate rTMS seizure rates across various FDA-cleared devices in naturalistic clinical settings. METHODS: In July and August 2018, approximately 500 members of the Clinical TMS Society (CTMSS) were electronically surveyed about seizures in their practices. Seizures were distinguished from non-seizures by a remote semi-structured interview with a Board-certified neurologist and Co-Chair of the CTMSS Standards Committee. Exact Poisson calculations were used to estimate seizure rates and confidence intervals across the four most widely used manufacturers. RESULTS: The survey was completed by 134 members, with 9 responses excluded because of data inconsistencies. In total, 18 seizures were reported in 586,656 sessions and 25,526 patients across all device manufacturers. The overall seizure rate was 0.31 (95% CI: 0.18, 0.48) per 10,000 sessions, and 0.71 (95% CI: 0.42, 1.11) per 1000 patients. The Brainsway H-coil seizure rate of 5.56 per 1000 patients (95% CI: 2.77,9.95) was significantly higher (p < 0.001) than the three most widely used figure- 8 coil devices' combined seizure rate of 0.14 per 1000 patients (95% CI: 0.01, 0.51). CONCLUSION: The absolute risk of a seizure with rTMS is low, but generic Brainsway H-coil treatment appears to be associated with a higher relative risk than generic figure- 8 coil treatment. Well-designed prospective studies are warranted to further investigate this risk.",Humans; Prospective Studies; Seizures; Transcranial Magnetic Stimulation,https://pubmed.ncbi.nlm.nih.gov/34133991/
21221011,Safety of theta burst transcranial magnetic stimulation: a systematic review of the literature.,Journal of clinical neurophysiology : official publication of the American Electroencephalographic Society,"Journal Article; Research Support, N.I.H., Extramural; Systematic Review","Theta burst stimulation (TBS) protocols have recently emerged as a method to transiently alter cortical excitability in the human brain through repetitive transcranial magnetic stimulation. TBS involves applying short trains of stimuli at high frequency repeated at intervals of 200 milliseconds. Because repetitive transcranial magnetic stimulation is known to carry a risk of seizures, safety guidelines have been established. TBS has the theoretical potential of conferring an even higher risk of seizure than other repetitive transcranial magnetic stimulation protocols because it delivers high-frequency bursts. In light of the recent report of a seizure induced by TBS, the safety of this new protocol deserves consideration. We performed an English language literature search and reviewed all studies published from May 2004 to December 2009 in which TBS was applied. The adverse events were documented, and crude risk was calculated. The majority of adverse events attributed to TBS were mild and occurred in 5% of subjects. Based on this review, TBS seems to be a safe and efficacious technique. However, given its novelty, it should be applied with caution. Additionally, this review highlights the need for rigorous documentation of adverse events associated with TBS and intensity dosing studies to assess the seizure risk associated with various stimulation parameters (e.g., frequency, intensity, and location).",Cerebral Cortex; Humans; PubMed; Theta Rhythm; Time Factors; Transcranial Magnetic Stimulation,https://pubmed.ncbi.nlm.nih.gov/21221011/
9474057,"Risk and safety of repetitive transcranial magnetic stimulation: report and suggested guidelines from the International Workshop on the Safety of Repetitive Transcranial Magnetic Stimulation, June 5-7, 1996.",Electroencephalography and clinical neurophysiology,Guideline; Journal Article; Practice Guideline,"Single-pulse transcranial magnetic stimulation (TMS) is a safe and useful tool for investigating various aspects of human neurophysiology, particularly corticospinal function, in health and disease. Repetitive TMS (rTMS), however, is a more powerful and potentially dangerous modality, capable of regionally blocking or facilitating cortical processes. Although there is evidence that rTMS is useful for treating clinical depression, and possibly other brain disorders, it had caused 7 known seizures by 1996 and could have other undesirable effects. In June 1996 a workshop was organized to review the available data on the safety of rTMS and to develop guidelines for its safe use. This article summarizes the workshop's deliberations. In addition to issues of risk and safety, it also addresses the principles and applications of rTMS, nomenclature, and potential therapeutic effects of rTMS. The guidelines for the use of rTMS, which are summarized in an appendix, cover the ethical issues, recommended limits on stimulation parameters, monitoring of subjects (both physiologically and neuropsychologically), expertise and function of the rTMS team, medical and psychosocial management of induced seizures, and contra-indications to rTMS.",Brain Diseases; Brain Mapping; Electric Stimulation; Electromagnetic Fields; Humans; Physical Stimulation; Risk Factors; Transcranial Magnetic Stimulation,https://pubmed.ncbi.nlm.nih.gov/9474057/
7683602,Safety of rapid-rate transcranial magnetic stimulation in normal volunteers.,Electroencephalography and clinical neurophysiology,Journal Article,"In 9 normal volunteers, we studied the safety of rapid-rate transcranial magnetic stimulation (rTMS) applied to different scalp positions at various frequencies and intensities. Pure tone threshold audiometry showed temporary threshold shifts in 3 subjects. In the subject stimulated at the highest intensity, rTMS induced a focal, secondarily generalized seizure despite the absence of definite risk factors for seizures. Rapid-rate TMS did not result in any important changes in the neurological examination findings, cognitive performance, electroencephalogram, electrocardiogram, and hormone levels (prolactin, adrenocorticotropic hormone, thyroid-stimulating hormone, luteinizing hormone, and follicle-stimulating hormone). In 10 additional subjects, the electromyographic activity in several contralateral muscles showed that trains of rTMS applied to the motor cortex induced a spread of cortical excitability. The spread of excitability depended on the intensity and frequency of the stimuli and probably constituted an early epileptogenic effect of rTMS. Guidelines for preventing the undesirable side effects of rTMS are offered.","Adult; Audiometry; Brain; Electroencephalography; Electromyography; Female; Gonadotropins, Pituitary; Humans; Male; Memory; Mental Recall; Middle Aged; Muscles; Neuropeptides; Neuropsychological Tests; Reaction Time; Reference Values; Safety; Transcranial Magnetic Stimulation",https://pubmed.ncbi.nlm.nih.gov/7683602/
37738899,Influence of time of day on resting motor threshold in clinical TMS practice.,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,"Letter; Research Support, Non-U.S. Gov't",,"Humans; Transcranial Magnetic Stimulation; Evoked Potentials, Motor; Male; Motor Cortex; Female; Adult; Time Factors; Middle Aged; Rest",https://pubmed.ncbi.nlm.nih.gov/37738899/
41346487,Chronic caffeine consumption on clinical TMS outcomes: A naturalistic retrospective analysis.,Transcranial magnetic stimulation (2024),Journal Article,"Health and behavioral factors likely influence repetitive transcranial magnetic stimulation (rTMS) effectiveness, though clear support is lacking. Since habitual caffeine use has been found to impair corticomotor plasticity, we hypothesized that clinical benefits may likewise be impaired. We performed a retrospective analysis (n = 179) from the McLean Hospital TMS Clinic to explore the effect of self-reported caffeine use on TMS clinical outcomes. Self-report depression and anxiety scales from caffeine users and non-users were compared with Wilcoxon-rank-sum test and response and remission rates with chi-square; Spearman's was used to correlate correlation caffeine quantity with degree of clinical change. Both groups experienced a significant reduction in depressive symptoms as expected. Contrary to our hypothesis, however, we found no differences between caffeine users and non-users in total symptom reduction or response and remission rates, nor did we find a relationship between caffeine quantity and clinical change. This naturalistic analysis suggests that chronic caffeine consumption does not influence treatment outcomes in clinical rTMS for depression.",,https://pubmed.ncbi.nlm.nih.gov/41346487/
36911138,Chronic caffeine consumption curbs rTMS-induced plasticity.,Frontiers in psychiatry,Journal Article,"BACKGROUND: Caffeine is a widely used psychostimulant. In the brain, caffeine acts as a competitive, non-selective adenosine receptor antagonist of A1 and A2A, both known to modulate long-term potentiation (LTP), the cellular basis of learning and memory. Repetitive transcranial magnetic stimulation (rTMS) is theorized to work through LTP induction and can modulate cortical excitability as measured by motor evoked potentials (MEPs). The acute effects of single caffeine doses diminish rTMS-induced corticomotor plasticity. However, plasticity in chronic daily caffeine users has not been examined. METHOD: We conducted a post hoc secondary covariate analysis from two previously published plasticity-inducing pharmaco-rTMS studies combining 10 Hz rTMS and D-cycloserine (DCS) in twenty healthy subjects. RESULTS: In this hypothesis-generating pilot study, we observed enhanced MEP facilitation in non-caffeine users compared to caffeine users and placebo. CONCLUSION: These preliminary data highlight a need to directly test the effects of caffeine in prospective well-powered studies, because in theory, they suggest that chronic caffeine use could limit learning or plasticity, including rTMS effectiveness.",,https://pubmed.ncbi.nlm.nih.gov/36911138/
34872405,Habitual caffeine consumption moderates the antidepressant effect of dorsomedial intermittent theta-burst transcranial magnetic stimulation.,"Journal of psychopharmacology (Oxford, England)","Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't","BACKGROUND: Potentiating current antidepressant treatment is much needed. Based on animal studies, caffeine may augment the effects of currently available antidepressants. OBJECTIVE: Here, we tested whether habitual caffeine consumption moderates the antidepressant effects of repetitive transcranial magnetic stimulation (rTMS) using intermittent theta-burst stimulation (iTBS). METHODS: Forty patients with current depressive episodes were randomized to active iTBS ( n = 19) or sham treatment ( n = 21; shielded side of the coil and weak transcutaneous electrical stimulation) delivered two times per day for 10-15 weekdays. Neuronavigated stimulation was applied to the dorsomedial prefrontal cortex. Symptom improvement was measured using change in self-reported Montgomery-Åsberg Depression Rating Scale (MADRS) scores. Pretreatment habitual caffeine consumption was quantified using self-reports of number of cups of coffee and energy drinks consumed the 2 days before the treatment starts. RESULTS: Habitual caffeine consumption was associated with symptom improvement following active iTBS ( r = 0.51, 95% confidence interval (CI): 0.08-0.78, p = 0.025) but not following sham treatment ( r = -0.02, 95% CI: -0.45 to 0.42, p = 0.938). A multiple regression analysis corroborated the findings by showing a significant caffeine consumption × treatment group interaction (β = 0.62, p = 0.043), but no main effects of treatment group (β = 0.22, p = 0.140) or caffeine consumption (β = -0.01, p = 0.948). No group differences in pretreatment symptom scores or caffeine consumption were detected ( p values > 0.86). CONCLUSION: Habitual caffeine consumption moderated the antidepressant effect of dorsomedial iTBS, consistent with caffeine improving antidepressant pharmacological treatments in animals. Caffeine is an antagonist of adenosine receptors and may enhance antidepressant effects through downstream dopaminergic targets.","Adolescent; Adult; Caffeine; Coffee; Combined Modality Therapy; Depressive Disorder; Double-Blind Method; Drinking Behavior; Energy Drinks; Female; Humans; Male; Middle Aged; Outcome Assessment, Health Care; Prefrontal Cortex; Purinergic P1 Receptor Antagonists; Transcranial Magnetic Stimulation; Young Adult",https://pubmed.ncbi.nlm.nih.gov/34872405/
38299320,Do benzodiazepines reduce the efficacy of transcranial magnetic stimulation?,Australasian psychiatry : bulletin of Royal Australian and New Zealand College of Psychiatrists,"Journal Article; Research Support, Non-U.S. Gov't","OBJECTIVE: To investigate the effect of concomitant use of benzodiazepines on the efficacy of repetitive transcranial magnetic stimulation (rTMS) in patients with treatment-resistant major depressive disorder (TR-MDD). METHODS: This is a retrospective study comparing rTMS treatment outcomes between patients taking benzodiazepines ( n = 59) and those who were not ( n = 136). Participants completed the HAM-A, HAM-D17, MADRS and ZUNG at baseline and at the end of treatment. RESULTS: Patients taking benzodiazepines during rTMS treatment did not show any difference in partial response, response or remission rates compared to patients not treated with benzodiazepines. There was a significant decrease ( p < .0001) in depression and anxiety scores from baseline to post-treatment among both groups. CONCLUSIONS: Concomitant benzodiazepine treatment had no effect on the efficacy of rTMS treatment of TRD, contrary to previous research.","Humans; Transcranial Magnetic Stimulation; Benzodiazepines; Male; Female; Major Depressive Disorder; Adult; Retrospective Studies; Middle Aged; Depressive Disorder, Treatment-Resistant; Treatment Outcome; Combined Modality Therapy",https://pubmed.ncbi.nlm.nih.gov/38299320/
32008395,Caution When Continuing Benzodiazepines During rTMS: Response to Hunter and Leuchter.,The American journal of psychiatry,Letter; Comment,,Benzodiazepines; Major Depressive Disorder; Humans; Prefrontal Cortex; Transcranial Magnetic Stimulation,https://pubmed.ncbi.nlm.nih.gov/32008395/
31368628,Therapeutic High-Frequency Repetitive Transcranial Magnetic Stimulation Concurrently Improves Mood and Anxiety in Patients Using Benzodiazepines.,Neuromodulation : journal of the International Neuromodulation Society,Journal Article,"OBJECTIVES/HYPOTHESIS: In this study, we tested the use of repetitive transcranial magnetic stimulation (rTMS) to reduce depression and anxiety in patients using or not using benzodiazepines. We hypothesized that rTMS would concurrently reduce symptoms in both depression and anxiety and that these reductions would correlate with patients using benzodiazepines. MATERIALS AND METHODS: This retrospective study screened for patients treated in a TMS clinic within a five-year period. Each patient had received high-frequency (10 or 20 Hz) rTMS over the left dorsolateral prefrontal cortex and completed pre- and posttreatment Beck Depression Inventory and Visual Analog Scale-Anxiety ratings. Fifty-eight patients (37 women) met these criteria and 37 (63.8%) took benzodiazepines. We used two mixed analysis of variance analyses to separately evaluate the effects of rTMS on depression and anxiety. We additionally directly evaluated the relationship between reductions in depression and anxiety by computing three linear correlations (all patients, benzodiazepine users, nonbenzodiazepine users). RESULTS: rTMS was an effective treatment of depression for all patients (p < 0.001). rTMS also reduced anxiety scores from pre- to posttreatment (p = 0.002). Furthermore, reductions in depression and anxiety were correlated (p = 0.002). These changes in depression and anxiety only correlated with benzodiazepine users (p < 0.001) and not nonbenzodiazepine users (p = 0.608). CONCLUSIONS: rTMS concurrently improved both depression and anxiety, and changes in these measures correlated with patients using benzodiazepines. With further investigation, rTMS may be a helpful treatment for both anxiety and depression simultaneously.","Adolescent; Adult; Affect; Aged; Aged, 80 and over; Antidepressive Agents; Anxiety; Benzodiazepines; Combined Modality Therapy; Depression; Female; Humans; Male; Middle Aged; Retrospective Studies; Transcranial Magnetic Stimulation; Treatment Outcome; Young Adult",https://pubmed.ncbi.nlm.nih.gov/31368628/
32289680,Reliability of targeting methods in TMS for depression: Beam F3 vs. 5.5 cm.,Brain stimulation,"Comparative Study; Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't","BACKGROUND: No consensus exists in the clinical transcranial magnetic stimulation (TMS) field as to the best method for targeting the left dorsolateral prefrontal cortex (DLPFC) for depression treatment. Two common targeting methods are the Beam F3 method and the 5.5 cm rule. OBJECTIVE: Evaluate the anatomical reliability of technician-identified DLPFC targets and obtain consensus average brain and scalp MNI152 coordinates. METHODS: Three trained TMS technicians performed repeated targeting using both the Beam F3 method and 5.5 cm rule in ten healthy subjects (n = 162). Average target locations were plotted on 7T structural MRIs to compare inter- and intra-rater reliability, respectively. RESULTS: (1) Beam F3 inter- and intra-rater reliability was superior to 5.5 cm targeting (p = 0.0005 and 0.0035). (2) The average Beam F3 location was 2.6±1.0 cm anterolateral to the 5.5 cm method. CONCLUSIONS: Beam F3 targeting demonstrates greater precision and reliability than the 5.5 cm method and identifies a different anatomical target.",Adult; Depression; Female; Humans; Magnetic Resonance Imaging; Male; Prefrontal Cortex; Reproducibility of Results; Transcranial Magnetic Stimulation,https://pubmed.ncbi.nlm.nih.gov/32289680/
37714408,A randomized trial comparing beam F3 and 5.5 cm targeting in rTMS treatment of depression demonstrates similar effectiveness.,Brain stimulation,"Randomized Controlled Trial; Journal Article; Research Support, Non-U.S. Gov't; Research Support, N.I.H., Extramural","BACKGROUND: The Beam F3 and 5.5 cm methods are the two most common targeting strategies for localizing the left dorsolateral prefrontal cortex (DLPFC) treatment site in repetitive transcranial magnetic stimulation (rTMS) protocols. This prospective, randomized, double-blind comparative effectiveness trial assesses the clinical outcomes for these two methods in a naturalistic sample of patients with major depressive disorder (MDD) undergoing clinical rTMS treatment. METHODS: 105 adult patients with MDD (mean age = 43.2; range = 18-73; 66% female) were randomized to receive rTMS to the Beam F3 (n = 58) or 5.5 cm (n = 47) target. Between group differences from pre-to post-treatment were evaluated with the Patient Health Questionnaire-9 (PHQ-9) [primary outcome measure], Generalized Anxiety Disorder-7 (GAD-7), and clinician-administered Montgomery-Åsberg Depression Scale (MADRS). Primary treatment endpoint was completion of daily treatment series. RESULTS: Per-protocol analyses showed no statistically significant differences on any measure between the 5.5 cm and F3 groups (all p ≥ 0.50), including percent improvement (PHQ-9: 39% vs. 39%; GAD-7: 34% vs. 27%; MADRS: 40% vs. 38%), response rate (PHQ-9: 37% vs. 43%; GAD-7: 27% vs. 30%; MADRS: 43% vs. 43%), and remission rate (PHQ-9: 22% vs. 21%; MADRS: 20% vs. 19%). Post hoc analysis of anxiety symptom change while controlling for depression severity suggested more favorable anxiolytic effects with 5.5 cm targeting (p = 0.03). CONCLUSIONS: Similar antidepressant effects were observed with DLFPC rTMS using either the Beam F3 or 5.5 cm targeting method, supporting clinical equipoise in MDD patients with head circumference ≤ 60 cm. Comparison to MRI-based targeting and differential effects on anxiety symptoms require further investigation. TRIAL REGISTRATION: ClinicalTrials.gov identifier: NCT03378570.",Adult; Humans; Female; Male; Transcranial Magnetic Stimulation; Major Depressive Disorder; Depression; Prospective Studies; Prefrontal Cortex; Treatment Outcome,https://pubmed.ncbi.nlm.nih.gov/37714408/
42082007,'RMT-Finder': An automated procedure to determine the Resting Motor Threshold for Transcranial Magnetic Stimulation.,Journal of neuroscience methods,Journal Article,"BACKGROUND: Transcranial Magnetic Stimulation (TMS) studies identify the Resting Motor Threshold (RMT) to calibrate stimulation intensity. However, this procedure is time-consuming and subject to variability. We developed an automated procedure to improve the efficiency and standardization of RMT determination. NEW METHOD: We developed an algorithm that measures MEP amplitudes and automatically adjusts stimulation intensity to determine the RMT. Experiment 1 compared this automated method with the manual procedure in terms of reliability and equivalence. Experiment 2 developed a ""Fast"" automated process, assessing it against both the manual and initial automated procedures. RESULTS: Across both experiments the automated approach demonstrated excellent test-retest reliability and strong agreement with the manual method (Intraclass Correlation Coefficients ≥0.95), giving estimates of RMT statistically equivalent to those of manual measurements within ±3% MSO, with the majority of comparisons within ±2% MSO. Experiment 2 optimized the procedure, allowing empirical determination of the RMT in an average of < 3 min with only 33-34 pulses. COMPARISON WITH EXISTING METHODS: 'RMT-Finder' provides a reliable and time-efficient alternative to manual approaches. This procedure can improve standardization and reproducibility in TMS studies. CONCLUSIONS: Automating RMT assessment allows rapid and highly reproducible assessment of this standard TMS measurement, making it viable for inclusion in routine clinical applications that require standardized procedures.",,https://pubmed.ncbi.nlm.nih.gov/42082007/
41949547,"Comparison of 4 Methods to Estimate the Resting Motor Threshold Using Transcranial Magnetic Stimulation: Rossini-Rothwell, 2-Threshold, Adaptive Threshold Hunting, and Stimulus-Response Curve Approaches.",The journal of ECT,Journal Article,"BACKGROUND: Estimating the resting motor threshold (RMT) is crucial for both investigative and therapeutic transcranial magnetic stimulation. However, no gold standard exists, as each method involves trade-offs between accuracy, time, and ease of use. This study compared RMT estimates and trial requirements across 4 EMG-based methods-Rossini-Rothwell (RR), maximum likelihood parameter estimation by sequential testing (ML-PEST), Mills-Nithi (MN), supervised parametric estimation (SPE)-and 2 visual methods: RR visual and ML-PEST visual. METHODS: In this observational study, RMT was estimated in 20 healthy participants using 6 approaches: 4 EMG-based (RR, ML-PEST, MN, SPE) and 2 visual (RR and ML-PEST). We assessed agreement among EMG-based methods and compared RMT estimates and trial counts across all methods. RESULTS: EMG-based methods showed strong agreement (ICC: 0.97, 95% CI: 0.94-0.99). RMT estimates differed significantly (P=0.001), with RR Visual yielding the highest values-significantly higher than RR EMG, ML-PEST EMG, and SPE EMG methods. Trial counts also varied (P<0.001), with ML-PEST requiring the fewest. In subgroup analysis, RR Visual and ML-PEST Visual produced similar RMTs, but ML-PEST Visual needed fewer trials. CONCLUSIONS: Adaptive threshold-hunting methods like ML-PEST offer efficient and accurate RMT estimation while reducing the number of required trials, supporting their use in both clinical and research applications.",,https://pubmed.ncbi.nlm.nih.gov/41949547/
11332408,A safety screening questionnaire for transcranial magnetic stimulation.,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,Letter,,"Adult; Brain; Diagnostic Techniques, Neurological; Equipment Safety; Humans; Surveys and Questionnaires; Transcranial Magnetic Stimulation",https://pubmed.ncbi.nlm.nih.gov/11332408/
41478613,Temporal variation of brain hemodynamics with accelerated iTBS for depression: A single-case concurrent TMS/fNIRS study.,Brain stimulation,Letter,,,https://pubmed.ncbi.nlm.nih.gov/41478613/
42055949,"Functional near-infrared spectroscopy assessment of the effects of transcranial direct current stimulation combined with transcranial magnetic stimulation on dynamic functional networks in patients with chronic insomnia: randomised, double-blind, parallel-group, controlled clinical trial.",BMJ mental health,Journal Article; Randomized Controlled Trial,"BACKGROUND: Evidence suggests that transcranial direct current stimulation (tDCS) combined with repetitive transcranial magnetic stimulation (rTMS) is more effective than either modality alone. However, the underlying neural mechanisms remain unclear. OBJECTIVE: To explore the effects of combined tDCS-rTMS on cortical functional networks and neural regulation processes in chronic insomnia. METHODS: In this randomised, double-blind, sham-controlled trial, 111 adults with chronic insomnia were allocated to real tDCS+real rTMS or sham tDCS+real rTMS. Participants received 20 weekday sessions over 4 weeks. Of these, 106 completed treatment and 103 provided functional near-infrared spectroscopy (fNIRS) data meeting predefined quality criteria. fNIRS measured oxygenated haemoglobin (Oxy-Hb) responses in prefrontal and temporal regions during a verbal fluency task (VFT) before and after treatment. The primary outcome was haemodynamic activation; secondary outcomes were functional connectivity and sleep quality. FINDINGS: Sleep quality improved in both groups, with significantly greater reduction in Pittsburgh Sleep Quality Index (PSQI) scores in the real tDCS+real rTMS group (p<0.05). No between-group differences were observed in VFT performance. However, the combined stimulation group showed significantly increased Oxy-Hb responses across multiple fronto-temporal channels, particularly in bilateral temporal regions, and greater enhancement in mean functional connectivity (p<0.05). Both interventions were well tolerated, with no serious adverse events. CONCLUSIONS: This study provides neuroimaging evidence that combined tDCS and rTMS may improve chronic insomnia by enhancing activation of fronto-temporal cortices and strengthening inter-regional functional connectivity. These findings offer objective support for the clinical efficacy of the combined stimulation protocol, link neurophysiological changes to treatment optimisation and suggest potential advantages of this approach for neuromodulation-based therapeutic strategies. CLINICAL IMPLICATIONS: These findings suggest that tDCS combined with rTMS may represent a feasible and well tolerated non-pharmacological strategy for chronic insomnia, with potential advantages over rTMS alone at both clinical and neurophysiological levels. TRIAL REGISTRATION NUMBER: This study was registered as a clinical trial with the China Clinical Trial Registration Centre (ChiCTR2100052681).","Humans; Double-Blind Method; Transcranial Direct Current Stimulation; Spectroscopy, Near-Infrared; Sleep Initiation and Maintenance Disorders; Male; Female; Transcranial Magnetic Stimulation; Adult; Middle Aged; Combined Modality Therapy; Prefrontal Cortex; Treatment Outcome",https://pubmed.ncbi.nlm.nih.gov/42055949/
42055012,Effective correction of extreme capacitive artifacts in TMS-EEG via windowed detrending.,Journal of neural engineering,Journal Article,"Objective. transcranial magnetic stimulation (TMS) combined with electroencephalography enables non-invasive assessment of cortical excitability and connectivity through TMS-evoked potentials (TEPs), but it is highly susceptible to artifacts that can obscure genuine neural activity. Among these, capacitive artifacts at the electrode-scalp interface are particularly challenging as they can dominate the post-stimulus signal with sharp voltage deflections and long-lasting drifts. This study evaluated the effectiveness of windowed detrending methods for correcting capacitive artifacts, especially when online hardware mitigation is insufficient. Approach. we systematically compared non-windowed detrending models against windowed approaches that separately model the rise (charging) and decay (discharging) phases of the artifact. We applied these methods to multiple datasets acquired across two centers using different hardware configurations. Performance was benchmarked against a cleaning strategy based on independent component analysis (ICA), spanning mild to extreme capacitive artifact conditions. Main results. ICA effectively corrected mild artifacts but was inadequate in moderate-to-severe cases, often suppressing physiological components or leaving substantial residual contamination. In contrast, model-based detrending, particularly windowed methods, robustly corrected extreme artifacts. Temporal segmentation improved parameter estimation and removal of nonlinear trends. Among the tested methods, windowed polynomial detrending showed a slight advantage, likely due to its greater flexibility in capturing complex artifact shapes. Significance. although optimal TMS-compatible hardware and rigorous online prevention remain essential, windowed detrending provides a robust offline correction strategy when severe capacitive artifacts persist. This approach improves data quality and supports more reliable interpretation of TEPs in studies where ideal acquisition conditions cannot be fully achieved.","Artifacts; Transcranial Magnetic Stimulation; Electroencephalography; Humans; Male; Adult; Female; Electric Capacitance; Evoked Potentials, Motor",https://pubmed.ncbi.nlm.nih.gov/42055012/
