pmid,title,year,journal,pubtypes,query_lanes,modules,priority,screening_decision,screening_reason,claim_extraction_candidate,pubmed_url
42175740,Prior Expectations Bias Confidence Judgments Through Parietal Alpha-Band Modulation.,2026,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",Journal Article,dosing_protocol_variants; master_tms_not_animal_only; mechanisms_neuroplasticity; technician_equipment_localization,mechanisms; technician_workflow; protocol_literacy,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/42175740/
42173311,Dose-response associations of total pulse dose and intersession interval with clinical outcomes in accelerated rTMS for major depressive episodes: A systematic review and meta-analysis.,2026,Brain stimulation,Journal Article,clinical_depression_protocols; dosing_protocol_variants; master_tms_not_animal_only; medication_sleep_caffeine_state; psychiatric_indications,patient_faq_adherence; state_factors; protocol_literacy; guidelines_reviews,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/42173311/
42173046,"A Randomized, Double-Blind, Pilot Study of N-Acetylcysteine for Motor and Cognitive Symptoms in Youth With Neurofibromatosis Type 1.",2026,Pediatric neurology,Journal Article,dosing_protocol_variants; fnirs_eeg_qeeg_biomarkers; master_tms_not_animal_only; patient_experience_adherence_state; safety_side_effects_sensations; technician_equipment_localization,safety_side_effects; patient_faq_adherence; technician_workflow; protocol_literacy; measurement_expansion,3,include_targeted_extraction,clinical_trial_or_protocol_evidence,True,https://pubmed.ncbi.nlm.nih.gov/42173046/
42168052,Alpha oscillations in pain neuromodulation: From resting rhythms to reactive networks.,2026,Neurotherapeutics : the journal of the American Society for Experimental NeuroTherapeutics,Journal Article,master_tms_not_animal_only; mechanisms_neuroplasticity; safety_side_effects_sensations,mechanisms; safety_side_effects,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/42168052/
42167498,E-field guided repetitive transcranial magnetic stimulation modulates oscillatory brain activity dynamics in tinnitus.,2026,Brain research bulletin,Journal Article,dosing_protocol_variants; fnirs_eeg_qeeg_biomarkers; master_tms_not_animal_only; mechanisms_neuroplasticity; psychiatric_indications; technician_equipment_localization,mechanisms; technician_workflow; protocol_literacy; measurement_expansion,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/42167498/
42166618,Chronic Implantation of Planar Microelectrode Arrays as a Brain-Computer Interface: A Technical Note and Operational Workflow.,2026,"Operative neurosurgery (Hagerstown, Md.)",Journal Article,master_tms_not_animal_only; safety_side_effects_sensations; technician_equipment_localization,safety_side_effects; technician_workflow,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/42166618/
42166488,Priming iTBS for lower limb rehabilitation after stroke: Protocol for a randomized controlled trial on efficacy and neuroplasticity.,2026,PloS one,Journal Article; Randomized Controlled Trial,dosing_protocol_variants; fnirs_eeg_qeeg_biomarkers; master_tms_not_animal_only; mechanisms_neuroplasticity; medication_sleep_caffeine_state; technician_equipment_localization,mechanisms; patient_faq_adherence; state_factors; technician_workflow; protocol_literacy; measurement_expansion,3,include_targeted_extraction,clinical_trial_or_protocol_evidence,True,https://pubmed.ncbi.nlm.nih.gov/42166488/
42165626,Prefrontal and Occipital Network Excitability Differences in Dementia with Lewy Bodies and Alzheimer's Disease.,2026,Clinical EEG and neuroscience,Journal Article,master_tms_not_animal_only; mechanisms_neuroplasticity; technician_equipment_localization,mechanisms; technician_workflow; measurement_expansion,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/42165626/
42165061,"Retrospective evaluation of transcranial magnetic stimulation for enhancing arousal in patients with minimally conscious state: a single-centre study in Inner Mongolia, China.",2026,Frontiers in psychiatry,Journal Article,dosing_protocol_variants; fnirs_eeg_qeeg_biomarkers; master_tms_not_animal_only; technician_equipment_localization,technician_workflow; protocol_literacy; measurement_expansion,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/42165061/
42164248,Theta burst stimulation for depressive symptoms in early-stage dementia with Lewy bodies: Protocol for a single-arm open-label feasibility study (DL-TBS Study).,2026,PCN reports : psychiatry and clinical neurosciences,Journal Article,clinical_depression_protocols; dosing_protocol_variants; master_tms_not_animal_only; medication_sleep_caffeine_state; patient_experience_adherence_state; psychiatric_indications; safety_side_effects_sensations; technician_equipment_localization,mechanisms; safety_side_effects; patient_faq_adherence; state_factors; technician_workflow; protocol_literacy,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/42164248/
42163441,Ventral Cervical Epidural Abscess Presenting as a Stroke Mimic With Paradoxical Thoracic Sensory Level: Diagnostic Challenges and Multimodal Management.,2026,The American journal of case reports,Journal Article; Case Reports,master_tms_not_animal_only; safety_side_effects_sensations,safety_side_effects,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/42163441/
42162266,Adjunctive D-cycloserine to intermittent theta-burst transcranial magnetic stimulation in fibromyalgia: a randomized placebo-controlled trial.,2026,Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,Journal Article,clinical_depression_protocols; dosing_protocol_variants; master_tms_not_animal_only; medication_sleep_caffeine_state; psychiatric_indications; technician_equipment_localization,patient_faq_adherence; state_factors; technician_workflow; protocol_literacy,3,include_targeted_extraction,clinical_trial_or_protocol_evidence,True,https://pubmed.ncbi.nlm.nih.gov/42162266/
42161537,"Long-term effect of transcranial magnetic stimulation and transcranial electrical stimulation in primary progressive aphasia: study protocol for a randomised, double-blind clinical trial (RECONNECT-PLUS).",2026,BMJ open,Journal Article; Clinical Trial Protocol,dosing_protocol_variants; fnirs_eeg_qeeg_biomarkers; master_tms_not_animal_only,protocol_literacy; measurement_expansion,3,include_targeted_extraction,clinical_trial_or_protocol_evidence,True,https://pubmed.ncbi.nlm.nih.gov/42161537/
42160055,Intermittent Theta-Burst Stimulation for Depressive Symptoms in Parkinson Disease: A Randomized Clinical Trial.,2026,JAMA network open,Journal Article; Randomized Controlled Trial,clinical_depression_protocols; dosing_protocol_variants; fnirs_eeg_qeeg_biomarkers; master_tms_not_animal_only; mechanisms_neuroplasticity; medication_sleep_caffeine_state; patient_experience_adherence_state; psychiatric_indications; technician_equipment_localization,mechanisms; patient_faq_adherence; state_factors; technician_workflow; protocol_literacy; measurement_expansion,3,include_targeted_extraction,clinical_trial_or_protocol_evidence,True,https://pubmed.ncbi.nlm.nih.gov/42160055/
42157607,Treating insomnia in mild cognitive impairment: a novel approach combining transcranial magnetic stimulation with cognitive behavioral therapy.,2026,"International review of psychiatry (Abingdon, England)",Journal Article,dosing_protocol_variants; master_tms_not_animal_only; mechanisms_neuroplasticity; medication_sleep_caffeine_state,mechanisms; patient_faq_adherence; state_factors; protocol_literacy; guidelines_reviews,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/42157607/
42154469,Dual-Site aiTBS for Suicidal Ideation in Adolescents With Major Depressive Disorder: A Randomized Clinical Trial.,2026,JAMA network open,Journal Article; Randomized Controlled Trial,clinical_depression_protocols; dosing_protocol_variants; master_tms_not_animal_only; psychiatric_indications; safety_side_effects_sensations; technician_equipment_localization,mechanisms; safety_side_effects; technician_workflow; protocol_literacy,3,include_targeted_extraction,clinical_trial_or_protocol_evidence,True,https://pubmed.ncbi.nlm.nih.gov/42154469/
42153515,Extracorporeal Radial Shock Wave Therapy Combined With Repetitive Transcranial Magnetic Stimulation for Nonspecific Low Back Pain: A Randomized Controlled Trial Protocol.,2026,Physiotherapy research international : the journal for researchers and clinicians in physical therapy,Journal Article; Clinical Trial Protocol,dosing_protocol_variants; master_tms_not_animal_only; mechanisms_neuroplasticity; medication_sleep_caffeine_state; patient_experience_adherence_state; psychiatric_indications; safety_side_effects_sensations,mechanisms; safety_side_effects; patient_faq_adherence; state_factors; protocol_literacy,3,include_targeted_extraction,clinical_trial_or_protocol_evidence,True,https://pubmed.ncbi.nlm.nih.gov/42153515/
42152687,Patients with different putative chronic pain mechanisms have different cortical complexity and synchrony.,2026,Pain,Journal Article,fnirs_eeg_qeeg_biomarkers; master_tms_not_animal_only; mechanisms_neuroplasticity; medication_sleep_caffeine_state; safety_side_effects_sensations; technician_equipment_localization,mechanisms; safety_side_effects; patient_faq_adherence; state_factors; technician_workflow; measurement_expansion,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/42152687/
42148834,Iliotibial Band Syndrome Detected by Bloodpool SPECT/CT Using New 3D-Ring CZT System.,2026,Clinical nuclear medicine,Journal Article,dosing_protocol_variants; master_tms_not_animal_only; safety_side_effects_sensations,safety_side_effects; protocol_literacy,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/42148834/
42148604,Neuromodulation techniques targeting neurotransmitter dysfunction: Innovation in treatments for Alzheimer's disease.,2026,Neural regeneration research,Journal Article,master_tms_not_animal_only; mechanisms_neuroplasticity; technician_equipment_localization,mechanisms; technician_workflow,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/42148604/
42145810,Motor imagery affects both cortical and spinal circuitry: a transcranial and trans-spinal magnetic stimulation study.,2026,Frontiers in neural circuits,Journal Article,master_tms_not_animal_only; technician_equipment_localization,technician_workflow,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/42145810/
42142853,Neuroelectrophysiological effects of Wuqinxi exercise on reactive inhibition deficits in Parkinson's disease.,2026,Psychology of sport and exercise,Journal Article,master_tms_not_animal_only; technician_equipment_localization,technician_workflow,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/42142853/
42142824,Clinical features of central sensitization moderate the effect of repetitive transcranial magnetic stimulation in chronic low back pain.,2026,The journal of pain,Journal Article,master_tms_not_animal_only; mechanisms_neuroplasticity; psychiatric_indications; safety_side_effects_sensations,mechanisms; safety_side_effects; protocol_literacy,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/42142824/
42142798,Continuous Theta-Burst Stimulation Improves Long-Term Outcomes in Alcohol Use Disorder by Modulating a Craving-Related Dynamic Network.,2026,Biological psychiatry,Journal Article,dosing_protocol_variants; fnirs_eeg_qeeg_biomarkers; master_tms_not_animal_only; mechanisms_neuroplasticity; medication_sleep_caffeine_state; technician_equipment_localization,mechanisms; patient_faq_adherence; state_factors; technician_workflow; protocol_literacy; measurement_expansion,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/42142798/
42142448,"Unravelling the relation among fatigue, fatigability and attention in Parkinson's disease.",2026,Journal of the neurological sciences,Journal Article,master_tms_not_animal_only; mechanisms_neuroplasticity; medication_sleep_caffeine_state; technician_equipment_localization,mechanisms; patient_faq_adherence; state_factors; technician_workflow,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/42142448/
42141937,Impact of High-Definition Cathodal tDCS Preconditioning on Enhancing the Therapeutic Efficacy of iTBS Combined With FES for Improving Walking Function in Patients With Spinal Cord Injury: A Randomized Controlled Trial.,2026,CNS neuroscience & therapeutics,Journal Article; Randomized Controlled Trial,dosing_protocol_variants; fnirs_eeg_qeeg_biomarkers; master_tms_not_animal_only; mechanisms_neuroplasticity; medication_sleep_caffeine_state; technician_equipment_localization,mechanisms; patient_faq_adherence; state_factors; technician_workflow; protocol_literacy; measurement_expansion,3,include_targeted_extraction,clinical_trial_or_protocol_evidence,True,https://pubmed.ncbi.nlm.nih.gov/42141937/
42140991,Automated Global Positioning Layout (GPL) for accuracy assessment in CAD-CAM mandibular reconstruction - method introduction.,2026,Scientific reports,Journal Article,dosing_protocol_variants; master_tms_not_animal_only; technician_equipment_localization,technician_workflow; protocol_literacy,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/42140991/
42140174,"Characterising manual dexterity, motor cortex neuroplasticity, and intracortical inhibition long after burn injury.",2026,Burns : journal of the International Society for Burn Injuries,Journal Article,master_tms_not_animal_only; mechanisms_neuroplasticity; technician_equipment_localization,mechanisms; technician_workflow,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/42140174/
42138671,Higher Pretreatment Evoked Alpha-Band Oscillatory Brain Dynamics Predict Chronic Pain Reduction of Noninvasive Brain Stimulation of Nonmotor Targets.,2026,Neuromodulation : journal of the International Neuromodulation Society,Journal Article,fnirs_eeg_qeeg_biomarkers; master_tms_not_animal_only; mechanisms_neuroplasticity; medication_sleep_caffeine_state; psychiatric_indications; safety_side_effects_sensations; technician_equipment_localization,mechanisms; safety_side_effects; patient_faq_adherence; state_factors; technician_workflow; protocol_literacy; measurement_expansion,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/42138671/
42138594,Effects of Experimental Intermittent Theta Burst Stimulation on Negative Symptoms of Schizophrenia: A Double-Blind Sham-Controlled Study.,2026,The Journal of clinical psychiatry,Journal Article; Randomized Controlled Trial,dosing_protocol_variants; master_tms_not_animal_only; safety_side_effects_sensations; technician_equipment_localization,mechanisms; safety_side_effects; technician_workflow; protocol_literacy,3,include_targeted_extraction,clinical_trial_or_protocol_evidence,True,https://pubmed.ncbi.nlm.nih.gov/42138594/
42137738,A Novel Approach to Map the Causal Impact of Brain Stimulation on Semantic Processing With Language Models.,2026,"Neurobiology of language (Cambridge, Mass.)",Journal Article,master_tms_not_animal_only; technician_equipment_localization,technician_workflow,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/42137738/
42137640,Does a second course of low-frequency repetitive transcranial magnetic stimulation enhance neuroplasticity and motor function in children with hemiplegic cerebral palsy? Results of a prospective study.,2026,Frontiers in human neuroscience,Journal Article,dosing_protocol_variants; master_tms_not_animal_only; mechanisms_neuroplasticity; medication_sleep_caffeine_state; technician_equipment_localization,mechanisms; patient_faq_adherence; state_factors; technician_workflow; protocol_literacy,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/42137640/
42135862,The effects of transcranial magnetic stimulation on state and trait anxiety among undergraduates with insomnia symptoms: a randomized control trial.,2026,BMC psychology,Journal Article,master_tms_not_animal_only; medication_sleep_caffeine_state; patient_experience_adherence_state; psychiatric_indications; technician_equipment_localization,patient_faq_adherence; state_factors; technician_workflow; protocol_literacy,3,include_targeted_extraction,clinical_trial_or_protocol_evidence,True,https://pubmed.ncbi.nlm.nih.gov/42135862/
42134605,A proof-of-principle study of tractography-based machine learning for predicting transcranial magnetic stimulation motor responsiveness.,2026,Journal of neuroscience methods,Journal Article,master_tms_not_animal_only; mechanisms_neuroplasticity; medication_sleep_caffeine_state; technician_equipment_localization,mechanisms; patient_faq_adherence; state_factors; technician_workflow,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/42134605/
42134302,This is IT: How accelerated intermittent theta burst stimulation relieves depression symptoms.,2026,Cell,Journal Article; Comment,dosing_protocol_variants; master_tms_not_animal_only; mechanisms_neuroplasticity; medication_sleep_caffeine_state,mechanisms; patient_faq_adherence; state_factors; protocol_literacy,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/42134302/
42134055,The effects of repetitive transcranial magnetic stimulation over the lateral parietal region on episodic future thinking and episodic memory.,2026,Consciousness and cognition,Journal Article,master_tms_not_animal_only; technician_equipment_localization,technician_workflow,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/42134055/
42132132,Impact of cenobamate on cortical responses to transcranial magnetic stimulation in people with drug-resistant focal epilepsy.,2026,Epilepsia open,Journal Article,dosing_protocol_variants; fnirs_eeg_qeeg_biomarkers; master_tms_not_animal_only; mechanisms_neuroplasticity; medication_sleep_caffeine_state; safety_side_effects_sensations; technician_equipment_localization,mechanisms; safety_side_effects; patient_faq_adherence; state_factors; technician_workflow; protocol_literacy; measurement_expansion,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/42132132/
42130308,rTMS Suppresses Tobacco Craving via Enhanced Prefronto-Striato-Thalamic Connectivity.,2026,Addiction biology,Journal Article,dosing_protocol_variants; master_tms_not_animal_only; mechanisms_neuroplasticity; psychiatric_indications; technician_equipment_localization,mechanisms; technician_workflow; protocol_literacy,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/42130308/
42129973,"Transcranial Magnetic Stimulation as a Translational Biomarker in Early-Phase Anti-Seizure Medication Development: A Randomized, Double-Blind, Placebo-Controlled Study in Generalized Epilepsy.",2026,Clinical pharmacology and therapeutics,Journal Article,dosing_protocol_variants; fnirs_eeg_qeeg_biomarkers; master_tms_not_animal_only; medication_sleep_caffeine_state; safety_side_effects_sensations; technician_equipment_localization,safety_side_effects; patient_faq_adherence; state_factors; technician_workflow; protocol_literacy; measurement_expansion,3,include_targeted_extraction,clinical_trial_or_protocol_evidence,True,https://pubmed.ncbi.nlm.nih.gov/42129973/
42127355,Association between anxious depression and clinical outcomes in subjects with treatment-resistant depression: a comparative effectiveness research trial for antidepressant incomplete and non-responders with treatment-resistant depression (ASCERTAIN-TRD).,2026,International clinical psychopharmacology,Journal Article,clinical_depression_protocols; master_tms_not_animal_only; medication_sleep_caffeine_state; patient_experience_adherence_state; psychiatric_indications,patient_faq_adherence; state_factors; protocol_literacy,3,include_targeted_extraction,clinical_trial_or_protocol_evidence,True,https://pubmed.ncbi.nlm.nih.gov/42127355/
42125457,Effects of high-frequency repetitive transcranial magnetic stimulation combined with acupuncture on central pain and mood.,2026,Frontiers in psychiatry,Journal Article,dosing_protocol_variants; master_tms_not_animal_only; medication_sleep_caffeine_state; patient_experience_adherence_state; psychiatric_indications; safety_side_effects_sensations; technician_equipment_localization,safety_side_effects; patient_faq_adherence; state_factors; technician_workflow; protocol_literacy,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/42125457/
42121685,"Temporal Changes in Affective Symptoms, Headache Burden, and Quality of Life Following rTMS Treatment in Migraine: A Longitudinal Study.",2026,"Healthcare (Basel, Switzerland)",Journal Article,dosing_protocol_variants; master_tms_not_animal_only; patient_experience_adherence_state; psychiatric_indications; safety_side_effects_sensations,safety_side_effects; patient_faq_adherence; protocol_literacy,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/42121685/
42119897,Effects of prism adaptation combined with electrical stimulation on cortical excitability of upper and lower limb muscles.,2026,Behavioural brain research,Journal Article,dosing_protocol_variants; master_tms_not_animal_only; mechanisms_neuroplasticity; medication_sleep_caffeine_state; technician_equipment_localization,mechanisms; patient_faq_adherence; state_factors; technician_workflow; protocol_literacy,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/42119897/
42119311,Selective disruption of sleep slow-waves increases motor cortical excitability in major depressive disorder.,2026,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,Journal Article,master_tms_not_animal_only; mechanisms_neuroplasticity; medication_sleep_caffeine_state,mechanisms; patient_faq_adherence; state_factors,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/42119311/
42119310,Cortico-cortical paired associative stimulation increases SMA-M1 facilitation in tremor-dominant Parkinson's disease.,2026,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,Journal Article,dosing_protocol_variants; master_tms_not_animal_only; mechanisms_neuroplasticity; medication_sleep_caffeine_state,mechanisms; patient_faq_adherence; state_factors; protocol_literacy,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/42119310/
42115366,"Comparison of the clinical efficacy, safety and EEG functional connectivity changes between 18-Hz rTMS and iTBS of accelerated dTMS treatment for major depressive disorder: a randomized controlled trial.",2026,Molecular psychiatry,Journal Article,clinical_depression_protocols; dosing_protocol_variants; fnirs_eeg_qeeg_biomarkers; master_tms_not_animal_only; mechanisms_neuroplasticity; medication_sleep_caffeine_state; patient_experience_adherence_state; psychiatric_indications; safety_side_effects_sensations; technician_equipment_localization,mechanisms; safety_side_effects; patient_faq_adherence; state_factors; technician_workflow; protocol_literacy; measurement_expansion,3,include_targeted_extraction,clinical_trial_or_protocol_evidence,True,https://pubmed.ncbi.nlm.nih.gov/42115366/
42115099,Modulation of evoked alpha oscillatory activity in the frontocentral region during analgesia by non-invasive brain stimulation.,2026,Neurotherapeutics : the journal of the American Society for Experimental NeuroTherapeutics,Journal Article,fnirs_eeg_qeeg_biomarkers; master_tms_not_animal_only; mechanisms_neuroplasticity; psychiatric_indications; safety_side_effects_sensations,mechanisms; safety_side_effects; protocol_literacy; measurement_expansion,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/42115099/
42114660,Differential modulation of sensorimotor beta oscillations by beta tACS alone and combined repetitive paired-pulse TMS with tACS.,2026,NeuroImage,Journal Article,master_tms_not_animal_only; mechanisms_neuroplasticity; medication_sleep_caffeine_state,mechanisms; patient_faq_adherence; state_factors,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/42114660/
42114208,Functional gradient reorganization and transcriptomic signatures underlying 1 Hz rTMS treatment in first-episode schizophrenia following right orbitofrontal cortex stimulation.,2026,NeuroImage. Clinical,Journal Article,dosing_protocol_variants; fnirs_eeg_qeeg_biomarkers; master_tms_not_animal_only; mechanisms_neuroplasticity; technician_equipment_localization,mechanisms; technician_workflow; protocol_literacy; measurement_expansion,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/42114208/
42112531,A visual cortex origin of trauma memory intrusions: integrated evidence from TMS and fMRI.,2026,Psychological medicine,Journal Article,master_tms_not_animal_only; mechanisms_neuroplasticity; psychiatric_indications; technician_equipment_localization,mechanisms; technician_workflow; protocol_literacy,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/42112531/
