pmid,title,year,journal,pubtypes,query_lanes,modules,priority,screening_decision,screening_reason,claim_extraction_candidate,pubmed_url
42193476,Navigated Transcranial Magnetic Stimulation (nTMS): From Functional Brain Mapping to Clinical Applications in Neurosurgery and Neurology.,2026,Biomedicines,Journal Article; Review,dosing_protocol_variants; guidelines_consensus_reviews; master_tms_not_animal_only; mechanisms_neuroplasticity; medication_sleep_caffeine_state; safety_side_effects_sensations; technician_equipment_localization,mechanisms; safety_side_effects; patient_faq_adherence; state_factors; technician_workflow; protocol_literacy; guidelines_reviews,2,include_claim_extraction,review_guideline_consensus_or_meta_analysis,True,https://pubmed.ncbi.nlm.nih.gov/42193476/
42192849,Investigating Treatment Response in Obsessive-Compulsive Disorder Through Neuromodulation and Patient-Derived Induced Pluripotent Stem Cell Models: Preliminary Clinical Observations from a Translational Study.,2026,Brain sciences,Journal Article,master_tms_not_animal_only; mechanisms_neuroplasticity; psychiatric_indications,mechanisms; protocol_literacy,4,background_index,background_mechanism_protocol_or_measurement_record,False,https://pubmed.ncbi.nlm.nih.gov/42192849/
42192842,Transcranial Magnetic Stimulation over the Left Inferior Parietal Lobule Facilitates Early-Stage Processing During Natural Chinese-English Bilingual Reading.,2026,Brain sciences,Journal Article,fnirs_eeg_qeeg_biomarkers; master_tms_not_animal_only; mechanisms_neuroplasticity,mechanisms; measurement_expansion,4,background_index,background_mechanism_protocol_or_measurement_record,False,https://pubmed.ncbi.nlm.nih.gov/42192842/
42192839,Noninvasive Brain Stimulation Techniques and Their Efficacy in Treating Cognition and Memory in Mild Cognitive Impairment and Alzheimer's Disease-A Systematic Review.,2026,Brain sciences,Journal Article; Review,guidelines_consensus_reviews; master_tms_not_animal_only; technician_equipment_localization,technician_workflow; guidelines_reviews,2,include_claim_extraction,review_guideline_consensus_or_meta_analysis,True,https://pubmed.ncbi.nlm.nih.gov/42192839/
42192827,Submaximal Unilateral Arm Cycling Produces Transient but Not Sustained Changes in Corticospinal Excitability in the Homologous Muscles of the Non-Exercised Limb.,2026,Brain sciences,Journal Article,master_tms_not_animal_only; mechanisms_neuroplasticity; technician_equipment_localization,mechanisms; technician_workflow,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/42192827/
42192818,Neurophysiological Predictors of Proximal Motor Rehabilitation in Stroke Patients with Corticospinal Tract Damage.,2026,Brain sciences,Journal Article,master_tms_not_animal_only; mechanisms_neuroplasticity; medication_sleep_caffeine_state; technician_equipment_localization,mechanisms; patient_faq_adherence; state_factors; technician_workflow,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/42192818/
42192794,Efficacy of Non-Invasive Brain Stimulation in Improving Working Memory in Children and Adolescents with Attention-Deficit/Hyperactivity Disorder: A Systematic Review.,2026,Brain sciences,Journal Article; Review,dosing_protocol_variants; guidelines_consensus_reviews; master_tms_not_animal_only; mechanisms_neuroplasticity; safety_side_effects_sensations; technician_equipment_localization,mechanisms; safety_side_effects; technician_workflow; protocol_literacy; guidelines_reviews,2,include_claim_extraction,review_guideline_consensus_or_meta_analysis,True,https://pubmed.ncbi.nlm.nih.gov/42192794/
42192357,Digital and repetitive transcranial magnetic stimulation interventions for perinatal depression and anxiety: a systematic review.,2026,BMC psychiatry,Journal Article; Systematic Review,clinical_depression_protocols; guidelines_consensus_reviews; master_tms_not_animal_only; medication_sleep_caffeine_state; patient_experience_adherence_state; psychiatric_indications; safety_side_effects_sensations,safety_side_effects; patient_faq_adherence; state_factors; protocol_literacy; guidelines_reviews,2,include_claim_extraction,review_guideline_consensus_or_meta_analysis,True,https://pubmed.ncbi.nlm.nih.gov/42192357/
42191032,"Network dysregulation in depression: A synthesis of HPA Axis, BDNF signaling, and neurotransmitter interactions across multidimensional systems.",2026,"Pharmacology, biochemistry, and behavior",Journal Article; Review,clinical_depression_protocols; fnirs_eeg_qeeg_biomarkers; guidelines_consensus_reviews; master_tms_not_animal_only; mechanisms_neuroplasticity; medication_sleep_caffeine_state; psychiatric_indications; technician_equipment_localization,mechanisms; patient_faq_adherence; state_factors; technician_workflow; protocol_literacy; measurement_expansion; guidelines_reviews,2,include_claim_extraction,review_guideline_consensus_or_meta_analysis,True,https://pubmed.ncbi.nlm.nih.gov/42191032/
42190714,Broad vs. narrow focus: how frequency and focal size affect transcranial ultrasound stimulation in motor cortex.,2026,Journal of neural engineering,Journal Article,dosing_protocol_variants; master_tms_not_animal_only; technician_equipment_localization,technician_workflow; protocol_literacy,5,exclude_low_priority,non_tms_stimulation_modality_title,False,https://pubmed.ncbi.nlm.nih.gov/42190714/
42188681,Repetitive Transcranial Magnetic Stimulation in Migraine: Clinical Outcomes and Neurobiological Mechanisms-A Systematic Review.,2026,Neurology international,Journal Article; Review,dosing_protocol_variants; guidelines_consensus_reviews; master_tms_not_animal_only; mechanisms_neuroplasticity; medication_sleep_caffeine_state; psychiatric_indications; safety_side_effects_sensations; technician_equipment_localization,mechanisms; safety_side_effects; patient_faq_adherence; state_factors; technician_workflow; protocol_literacy; guidelines_reviews,2,include_claim_extraction,review_guideline_consensus_or_meta_analysis,True,https://pubmed.ncbi.nlm.nih.gov/42188681/
42188561,Effect of Power Output and Pedaling Cadence on Plantar Pressures in Professional Cyclists with Overuse Injuries.,2026,"Sports (Basel, Switzerland)",Journal Article,dosing_protocol_variants; master_tms_not_animal_only,protocol_literacy,4,background_index,background_mechanism_protocol_or_measurement_record,False,https://pubmed.ncbi.nlm.nih.gov/42188561/
42186059,Correction: Repetitive transcranial magnetic stimulation influences cognitive-motor dual-task performance in children with cerebral palsy: a randomized controlled study.,2026,Journal of neuroengineering and rehabilitation,Published Erratum,master_tms_not_animal_only,,5,exclude_low_priority,no_training_platform_module_match,False,https://pubmed.ncbi.nlm.nih.gov/42186059/
42186052,Effectiveness of transcutaneous spinal direct current stimulation combined with exercise training in patients with anterior cruciate ligament reconstruction: study protocol for a randomized controlled trial.,2026,Trials,Journal Article,dosing_protocol_variants; fnirs_eeg_qeeg_biomarkers; master_tms_not_animal_only; psychiatric_indications; safety_side_effects_sensations; technician_equipment_localization,safety_side_effects; technician_workflow; protocol_literacy; measurement_expansion,3,include_targeted_extraction,clinical_trial_or_protocol_evidence,True,https://pubmed.ncbi.nlm.nih.gov/42186052/
42185769,Effect of cerebellar vermis intermittent theta-burst stimulation on balance function in frail older adults: a randomized controlled trial.,2026,BMC geriatrics,Journal Article,dosing_protocol_variants; fnirs_eeg_qeeg_biomarkers; master_tms_not_animal_only; safety_side_effects_sensations; technician_equipment_localization,safety_side_effects; technician_workflow; protocol_literacy; measurement_expansion,3,include_targeted_extraction,clinical_trial_or_protocol_evidence,True,https://pubmed.ncbi.nlm.nih.gov/42185769/
42185052,Transcutaneous auricular vagus nerve stimulation during movement selectively activates motor circuitry without additional cortical or autonomic effects.,2026,The Journal of neuroscience : the official journal of the Society for Neuroscience,Journal Article,dosing_protocol_variants; fnirs_eeg_qeeg_biomarkers; master_tms_not_animal_only; mechanisms_neuroplasticity,mechanisms; protocol_literacy; measurement_expansion,5,exclude_low_priority,non_tms_stimulation_modality_title,False,https://pubmed.ncbi.nlm.nih.gov/42185052/
42183812,Changing Sensory Eye Dominance With Theta Burst Stimulation Over Visual Cortex.,2026,Neuromodulation : journal of the International Neuromodulation Society,Journal Article,dosing_protocol_variants; master_tms_not_animal_only; mechanisms_neuroplasticity; medication_sleep_caffeine_state,mechanisms; patient_faq_adherence; state_factors; protocol_literacy,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/42183812/
42183538,"A prospective, single-center, quasi-experimental study protocol for evaluating the efficacy of stepwise Yalom group therapy in reducing depressive symptoms and interpersonal problems in Chinese female patients with depressive disorders.",2026,Frontiers in psychology,Journal Article,clinical_depression_protocols; dosing_protocol_variants; master_tms_not_animal_only; patient_experience_adherence_state; psychiatric_indications,patient_faq_adherence; protocol_literacy,4,background_index,background_mechanism_protocol_or_measurement_record,False,https://pubmed.ncbi.nlm.nih.gov/42183538/
42182564,"Transcranial magnetic stimulation from healthy brain aging to Alzheimer's disease: a review on mechanisms, therapeutic potential, and future clinical directions.",2026,Frontiers in aging neuroscience,Journal Article; Review,guidelines_consensus_reviews; master_tms_not_animal_only; mechanisms_neuroplasticity,mechanisms; guidelines_reviews,2,include_claim_extraction,review_guideline_consensus_or_meta_analysis,True,https://pubmed.ncbi.nlm.nih.gov/42182564/
42182375,Cellular Mechanisms of Transcranial Magnetic Stimulation in Climbing Fibers and Purkinje Neurons in the Cerebellum.,2026,bioRxiv : the preprint server for biology,Journal Article; Preprint,master_tms_not_animal_only; mechanisms_neuroplasticity,mechanisms,4,background_index,background_mechanism_protocol_or_measurement_record,False,https://pubmed.ncbi.nlm.nih.gov/42182375/
42182249,Cerebellar perturbation impairs human working memory and degrades spatial tuning throughout cortex.,2026,bioRxiv : the preprint server for biology,Journal Article; Preprint,fnirs_eeg_qeeg_biomarkers; master_tms_not_animal_only,measurement_expansion,4,background_index,background_mechanism_protocol_or_measurement_record,False,https://pubmed.ncbi.nlm.nih.gov/42182249/
42180209,Prognostic accuracy of transcranial magnetic stimulation-induced motor evoked potentials on recovery of upper limb: a systematic review.,2026,Frontiers in neurology,Journal Article; Systematic Review,guidelines_consensus_reviews; master_tms_not_animal_only,guidelines_reviews,2,include_claim_extraction,review_guideline_consensus_or_meta_analysis,True,https://pubmed.ncbi.nlm.nih.gov/42180209/
42180178,Network-based near-scalp personalized brain stimulation targets.,2026,"Imaging neuroscience (Cambridge, Mass.)",Journal Article,dosing_protocol_variants; master_tms_not_animal_only; mechanisms_neuroplasticity; patient_experience_adherence_state; psychiatric_indications; technician_equipment_localization,mechanisms; patient_faq_adherence; technician_workflow; protocol_literacy,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/42180178/
42180005,Virtual reality-based inhibition training influences food-related responses: no additional effects of repetitive transcranial magnetic stimulation.,2026,Frontiers in psychiatry,Journal Article,dosing_protocol_variants; master_tms_not_animal_only; technician_equipment_localization,technician_workflow; protocol_literacy,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/42180005/
42179725,Non-invasive neuroregulation techniques applied to patients with consciousness disorders: a narrative review.,2026,Frontiers in human neuroscience,Journal Article; Review,dosing_protocol_variants; fnirs_eeg_qeeg_biomarkers; guidelines_consensus_reviews; master_tms_not_animal_only; mechanisms_neuroplasticity; safety_side_effects_sensations; technician_equipment_localization,mechanisms; safety_side_effects; technician_workflow; protocol_literacy; measurement_expansion; guidelines_reviews,2,include_claim_extraction,review_guideline_consensus_or_meta_analysis,True,https://pubmed.ncbi.nlm.nih.gov/42179725/
42178348,Repetitive transcranial magnetic stimulation is associated with improved functional recovery and time-dependent changes in apoptosis-related execution-phase markers after spinal cord injury.,2026,Scientific reports,Journal Article,master_tms_not_animal_only; technician_equipment_localization,technician_workflow,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/42178348/
42178189,The Relationship Between the Cortico-Diaphragmatic Conduction Pathway and Cardiopulmonary Function in Healthy Individuals.,2026,The clinical respiratory journal,Journal Article,master_tms_not_animal_only; medication_sleep_caffeine_state; technician_equipment_localization,patient_faq_adherence; state_factors; technician_workflow,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/42178189/
42177149,"Confounding factors in the comparison of iTBS protocols - Comments on Ramdeo et al.: ""Waveform matters"".",2026,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,Letter,dosing_protocol_variants; master_tms_not_animal_only,protocol_literacy,4,background_index,background_mechanism_protocol_or_measurement_record,False,https://pubmed.ncbi.nlm.nih.gov/42177149/
42176505,Modulating cortical inhibition in Functional Gait Disorder - Neurophysiological evidence from low-frequency rTMS.,2026,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,Letter,dosing_protocol_variants; master_tms_not_animal_only,protocol_literacy,4,background_index,background_mechanism_protocol_or_measurement_record,False,https://pubmed.ncbi.nlm.nih.gov/42176505/
42175974,Anodal Transcranial Pulsed Current Stimulation at Alpha-Gamma Frequencies: Effects on Corticospinal and Cortico-Cortical Excitability.,2026,Neuromodulation : journal of the International Neuromodulation Society,Journal Article,master_tms_not_animal_only; mechanisms_neuroplasticity; medication_sleep_caffeine_state; safety_side_effects_sensations,mechanisms; safety_side_effects; patient_faq_adherence; state_factors,5,exclude_low_priority,non_tms_stimulation_modality_title,False,https://pubmed.ncbi.nlm.nih.gov/42175974/
42175740,Prior Expectations Bias Confidence Judgments Through Parietal Alpha-Band Modulation.,2026,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",Journal Article,dosing_protocol_variants; master_tms_not_animal_only; mechanisms_neuroplasticity; technician_equipment_localization,mechanisms; technician_workflow; protocol_literacy,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/42175740/
42173311,Dose-response associations of total pulse dose and intersession interval with clinical outcomes in accelerated rTMS for major depressive episodes: A systematic review and meta-analysis.,2026,Brain stimulation,Journal Article,clinical_depression_protocols; dosing_protocol_variants; master_tms_not_animal_only; medication_sleep_caffeine_state; psychiatric_indications,patient_faq_adherence; state_factors; protocol_literacy; guidelines_reviews,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/42173311/
42173046,"A Randomized, Double-Blind, Pilot Study of N-Acetylcysteine for Motor and Cognitive Symptoms in Youth With Neurofibromatosis Type 1.",2026,Pediatric neurology,Journal Article,dosing_protocol_variants; fnirs_eeg_qeeg_biomarkers; master_tms_not_animal_only; patient_experience_adherence_state; safety_side_effects_sensations; technician_equipment_localization,safety_side_effects; patient_faq_adherence; technician_workflow; protocol_literacy; measurement_expansion,3,include_targeted_extraction,clinical_trial_or_protocol_evidence,True,https://pubmed.ncbi.nlm.nih.gov/42173046/
42172198,Effects of different intensities of repetitive peripheral magnetic stimulation on corticospinal excitability and motor performance in healthy humans.,2026,PloS one,Journal Article,master_tms_not_animal_only; mechanisms_neuroplasticity,mechanisms,4,background_index,background_mechanism_protocol_or_measurement_record,False,https://pubmed.ncbi.nlm.nih.gov/42172198/
42171551,Phase-Dependent Cerebellar Contributions to Visual Working Memory: An Online Triple-Pulse Transcranial Magnetic Stimulation Study.,2026,Neuromodulation : journal of the International Neuromodulation Society,Journal Article,master_tms_not_animal_only; mechanisms_neuroplasticity,mechanisms,4,background_index,background_mechanism_protocol_or_measurement_record,False,https://pubmed.ncbi.nlm.nih.gov/42171551/
42171529,Efficacy and Safety of Repetitive Transcranial Magnetic Stimulation (rTMS) in Peripheral Neuropathic Pain: A GRADE-Assessed Meta-Analysis of Randomized Sham-Controlled Trials.,2026,Pain practice : the official journal of World Institute of Pain,Journal Article; Meta-Analysis; Systematic Review; Review,guidelines_consensus_reviews; master_tms_not_animal_only; medication_sleep_caffeine_state; psychiatric_indications; safety_side_effects_sensations,safety_side_effects; patient_faq_adherence; state_factors; protocol_literacy; guidelines_reviews,2,include_claim_extraction,review_guideline_consensus_or_meta_analysis,True,https://pubmed.ncbi.nlm.nih.gov/42171529/
42168052,Alpha oscillations in pain neuromodulation: From resting rhythms to reactive networks.,2026,Neurotherapeutics : the journal of the American Society for Experimental NeuroTherapeutics,Journal Article,master_tms_not_animal_only; mechanisms_neuroplasticity; safety_side_effects_sensations,mechanisms; safety_side_effects,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/42168052/
42167925,Neuromodulation for Subjective Tinnitus: A Systematic Review and Meta-Analysis of Randomized Trials.,2026,The Laryngoscope,Journal Article; Review,dosing_protocol_variants; guidelines_consensus_reviews; master_tms_not_animal_only; psychiatric_indications; safety_side_effects_sensations; technician_equipment_localization,safety_side_effects; technician_workflow; protocol_literacy; guidelines_reviews,2,include_claim_extraction,review_guideline_consensus_or_meta_analysis,True,https://pubmed.ncbi.nlm.nih.gov/42167925/
42167498,E-field guided repetitive transcranial magnetic stimulation modulates oscillatory brain activity dynamics in tinnitus.,2026,Brain research bulletin,Journal Article,dosing_protocol_variants; fnirs_eeg_qeeg_biomarkers; master_tms_not_animal_only; mechanisms_neuroplasticity; psychiatric_indications; technician_equipment_localization,mechanisms; technician_workflow; protocol_literacy; measurement_expansion,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/42167498/
42166859,"Transcranial direct current stimulation (tDCS) as an additional treatment to cognitive behavior group therapy in adults with tobacco dependence - a double-blind, randomized, sham-controlled pilot trial.",2026,Psychiatry research,Journal Article,master_tms_not_animal_only; mechanisms_neuroplasticity; medication_sleep_caffeine_state; psychiatric_indications; safety_side_effects_sensations; technician_equipment_localization,mechanisms; safety_side_effects; patient_faq_adherence; state_factors; technician_workflow; protocol_literacy,5,exclude_low_priority,non_tms_stimulation_modality_title,False,https://pubmed.ncbi.nlm.nih.gov/42166859/
42166849,Delayed transcallosal conduction to the lesioned sensorimotor cortex in multiple Sclerosis: A combined TMS 7 T-MRI study.,2026,NeuroImage. Clinical,Journal Article,master_tms_not_animal_only,,5,exclude_low_priority,no_training_platform_module_match,False,https://pubmed.ncbi.nlm.nih.gov/42166849/
42166618,Chronic Implantation of Planar Microelectrode Arrays as a Brain-Computer Interface: A Technical Note and Operational Workflow.,2026,"Operative neurosurgery (Hagerstown, Md.)",Journal Article,master_tms_not_animal_only; safety_side_effects_sensations; technician_equipment_localization,safety_side_effects; technician_workflow,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/42166618/
42166488,Priming iTBS for lower limb rehabilitation after stroke: Protocol for a randomized controlled trial on efficacy and neuroplasticity.,2026,PloS one,Journal Article; Randomized Controlled Trial,dosing_protocol_variants; fnirs_eeg_qeeg_biomarkers; master_tms_not_animal_only; mechanisms_neuroplasticity; medication_sleep_caffeine_state; technician_equipment_localization,mechanisms; patient_faq_adherence; state_factors; technician_workflow; protocol_literacy; measurement_expansion,3,include_targeted_extraction,clinical_trial_or_protocol_evidence,True,https://pubmed.ncbi.nlm.nih.gov/42166488/
42165626,Prefrontal and Occipital Network Excitability Differences in Dementia with Lewy Bodies and Alzheimer's Disease.,2026,Clinical EEG and neuroscience,Journal Article,master_tms_not_animal_only; mechanisms_neuroplasticity; technician_equipment_localization,mechanisms; technician_workflow; measurement_expansion,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/42165626/
42165061,"Retrospective evaluation of transcranial magnetic stimulation for enhancing arousal in patients with minimally conscious state: a single-centre study in Inner Mongolia, China.",2026,Frontiers in psychiatry,Journal Article,dosing_protocol_variants; fnirs_eeg_qeeg_biomarkers; master_tms_not_animal_only; technician_equipment_localization,technician_workflow; protocol_literacy; measurement_expansion,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/42165061/
42164248,Theta burst stimulation for depressive symptoms in early-stage dementia with Lewy bodies: Protocol for a single-arm open-label feasibility study (DL-TBS Study).,2026,PCN reports : psychiatry and clinical neurosciences,Journal Article,clinical_depression_protocols; dosing_protocol_variants; master_tms_not_animal_only; medication_sleep_caffeine_state; patient_experience_adherence_state; psychiatric_indications; safety_side_effects_sensations; technician_equipment_localization,mechanisms; safety_side_effects; patient_faq_adherence; state_factors; technician_workflow; protocol_literacy,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/42164248/
42164210,Management of Treatment-Resistant Depression: An Updated Narrative Review of Current and Emerging Treatments.,2026,Cureus,Journal Article; Review,clinical_depression_protocols; dosing_protocol_variants; guidelines_consensus_reviews; master_tms_not_animal_only; medication_sleep_caffeine_state; psychiatric_indications; safety_side_effects_sensations,safety_side_effects; patient_faq_adherence; state_factors; protocol_literacy; guidelines_reviews,2,include_claim_extraction,review_guideline_consensus_or_meta_analysis,True,https://pubmed.ncbi.nlm.nih.gov/42164210/
42163441,Ventral Cervical Epidural Abscess Presenting as a Stroke Mimic With Paradoxical Thoracic Sensory Level: Diagnostic Challenges and Multimodal Management.,2026,The American journal of case reports,Journal Article; Case Reports,master_tms_not_animal_only; safety_side_effects_sensations,safety_side_effects,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/42163441/
42162266,Adjunctive D-cycloserine to intermittent theta-burst transcranial magnetic stimulation in fibromyalgia: a randomized placebo-controlled trial.,2026,Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,Journal Article,clinical_depression_protocols; dosing_protocol_variants; master_tms_not_animal_only; medication_sleep_caffeine_state; psychiatric_indications; technician_equipment_localization,patient_faq_adherence; state_factors; technician_workflow; protocol_literacy,3,include_targeted_extraction,clinical_trial_or_protocol_evidence,True,https://pubmed.ncbi.nlm.nih.gov/42162266/
