pmid,title,year,pubdate,epubdate,journal,source_abbrev,volume,issue,pages,doi,pmc,authors,author_count,last_author,pubtypes,is_review,is_guideline,is_meta_analysis,is_clinical_trial,is_randomized_trial,query_lanes,pubmed_url
42202470,Cortical connectivity abnormalities assessed by TMS-EEG in patients after a transient ischemic attack.,2026,2026 May 27,2026 May 27,Neurophysiologie clinique = Clinical neurophysiology,Neurophysiol Clin,56,3,103172,10.1016/j.neucli.2026.103172,,Jakobsen A; De Martino E; Couto BAN; Bach MM; Ingemann-Molden S; Graven-Nielsen T; Modrau B; Blicher JU; Andrade DC,9,Andrade DC,Journal Article,False,False,False,False,False,fnirs_eeg_qeeg_biomarkers; master_tms_not_animal_only; mechanisms_neuroplasticity,https://pubmed.ncbi.nlm.nih.gov/42202470/
42202197,EEG Ensemble Learning Framework for Prognostic Prediction of Post-rTMS Motor Recovery in Stroke.,2026,2026 May 27,2026 May 27,IEEE transactions on bio-medical engineering,IEEE Trans Biomed Eng,PP,,,10.1109/TBME.2026.3698000,,Jia T; Long H; Xie D; Zhao Y; Wu Y; Li Y; Mo L; Guan X; Farina D,9,Farina D,Journal Article,False,False,False,False,False,fnirs_eeg_qeeg_biomarkers; master_tms_not_animal_only; mechanisms_neuroplasticity,https://pubmed.ncbi.nlm.nih.gov/42202197/
42202183,State-dependent neuromodulation reveals link between online and offline corticospinal excitability.,2026,2026 May 27,2026 May 27,IEEE transactions on neural systems and rehabilitation engineering : a publication of the IEEE Engineering in Medicine and Biology Society,IEEE Trans Neural Syst Rehabil Eng,PP,,,10.1109/TNSRE.2026.3697589,,Khademi F; Gharabaghi A,2,Gharabaghi A,Journal Article,False,False,False,False,False,dosing_protocol_variants; fnirs_eeg_qeeg_biomarkers; master_tms_not_animal_only; mechanisms_neuroplasticity,https://pubmed.ncbi.nlm.nih.gov/42202183/
42201670,Relevance of Accelerated Intermittent Theta-Burst Stimulation and Multisite High-Frequency Repetitive Transcranial Magnetic Stimulation in Parkinson Disease: A Case Study.,2026,2026 Jun 1,2025 Oct 2,The journal of ECT,J ECT,42,2,e19-e21,10.1097/YCT.0000000000001190,,Joshi M; Kumar Kar S,2,Kumar Kar S,Journal Article,False,False,False,False,False,dosing_protocol_variants; master_tms_not_animal_only,https://pubmed.ncbi.nlm.nih.gov/42201670/
42198984,Improving access to novel treatments for treatment-resistant depression: The potential role of specialist clinics in Australia.,2026,2026 May 26,2026 May 26,The Australian and New Zealand journal of psychiatry,Aust N Z J Psychiatry,,,48674261450390,10.1177/00048674261450390,,Giri Y; Furst P; Loo CK; Clark SR; Tibrewal P,5,Tibrewal P,Journal Article,False,False,False,False,False,master_tms_not_animal_only; psychiatric_indications; technician_equipment_localization,https://pubmed.ncbi.nlm.nih.gov/42198984/
42197807,Enhancing Expressway Traffic State Perception: A Novel BAS-Optimized PSO-BP Fusion Model with Tensor Completion.,2026,2026 May 10,2026 May 10,"Sensors (Basel, Switzerland)",Sensors (Basel),26,10,,10.3390/s26102998,PMC13211183,Yin J; Guo X; Bai W; Ma L; Tang L,5,Tang L,Journal Article,False,False,False,False,False,master_tms_not_animal_only; mechanisms_neuroplasticity; technician_equipment_localization,https://pubmed.ncbi.nlm.nih.gov/42197807/
42193476,Navigated Transcranial Magnetic Stimulation (nTMS): From Functional Brain Mapping to Clinical Applications in Neurosurgery and Neurology.,2026,2026 May 19,2026 May 19,Biomedicines,Biomedicines,14,5,,10.3390/biomedicines14051152,PMC13204847,Setlak MK; Błaszczyk B; Wojtacha M; Rudnik A,4,Rudnik A,Journal Article; Review,True,False,False,False,False,dosing_protocol_variants; guidelines_consensus_reviews; master_tms_not_animal_only; mechanisms_neuroplasticity; medication_sleep_caffeine_state; safety_side_effects_sensations; technician_equipment_localization,https://pubmed.ncbi.nlm.nih.gov/42193476/
42192849,Investigating Treatment Response in Obsessive-Compulsive Disorder Through Neuromodulation and Patient-Derived Induced Pluripotent Stem Cell Models: Preliminary Clinical Observations from a Translational Study.,2026,2026 May 19,2026 May 19,Brain sciences,Brain Sci,16,5,,10.3390/brainsci16050537,PMC13205058,Benatti B; Marcatili M; Leuzzi R; Clerici M; Conti L; Gennarelli M; Sala C; Bernoni d'Aversa F; Casati V; Castiglioni M; Gesi C; Girone N,17,Dell'Osso B,Journal Article,False,False,False,False,False,master_tms_not_animal_only; mechanisms_neuroplasticity; psychiatric_indications,https://pubmed.ncbi.nlm.nih.gov/42192849/
42192842,Transcranial Magnetic Stimulation over the Left Inferior Parietal Lobule Facilitates Early-Stage Processing During Natural Chinese-English Bilingual Reading.,2026,2026 May 17,2026 May 17,Brain sciences,Brain Sci,16,5,,10.3390/brainsci16050530,PMC13204229,Wu J; Hang R; Xin P; Yan G; Gu C; Chen L,6,Chen L,Journal Article,False,False,False,False,False,fnirs_eeg_qeeg_biomarkers; master_tms_not_animal_only; mechanisms_neuroplasticity,https://pubmed.ncbi.nlm.nih.gov/42192842/
42192839,Noninvasive Brain Stimulation Techniques and Their Efficacy in Treating Cognition and Memory in Mild Cognitive Impairment and Alzheimer's Disease-A Systematic Review.,2026,2026 May 15,2026 May 15,Brain sciences,Brain Sci,16,5,,10.3390/brainsci16050527,PMC13204702,Valverde HP; Clark BJ; Hogeveen J; Clark VP,4,Clark VP,Journal Article; Review,True,False,False,False,False,guidelines_consensus_reviews; master_tms_not_animal_only; technician_equipment_localization,https://pubmed.ncbi.nlm.nih.gov/42192839/
42192827,Submaximal Unilateral Arm Cycling Produces Transient but Not Sustained Changes in Corticospinal Excitability in the Homologous Muscles of the Non-Exercised Limb.,2026,2026 May 12,2026 May 12,Brain sciences,Brain Sci,16,5,,10.3390/brainsci16050514,PMC13204175,Rahmani H; Amoozi H; Refai ISAA; Power KE,4,Power KE,Journal Article,False,False,False,False,False,master_tms_not_animal_only; mechanisms_neuroplasticity; technician_equipment_localization,https://pubmed.ncbi.nlm.nih.gov/42192827/
42192818,Neurophysiological Predictors of Proximal Motor Rehabilitation in Stroke Patients with Corticospinal Tract Damage.,2026,2026 May 8,2026 May 8,Brain sciences,Brain Sci,16,5,,10.3390/brainsci16050505,PMC13204963,Dai W; Zhang Q; Tian J; Wang S; Lu R,5,Lu R,Journal Article,False,False,False,False,False,master_tms_not_animal_only; mechanisms_neuroplasticity; medication_sleep_caffeine_state; technician_equipment_localization,https://pubmed.ncbi.nlm.nih.gov/42192818/
42192794,Efficacy of Non-Invasive Brain Stimulation in Improving Working Memory in Children and Adolescents with Attention-Deficit/Hyperactivity Disorder: A Systematic Review.,2026,2026 Apr 29,2026 Apr 29,Brain sciences,Brain Sci,16,5,,10.3390/brainsci16050480,PMC13204134,Zambrano Vélez WA; Alcívar Ponce JL; Bailón Bailón WG; Castillo Del Valle HM; Baquerizo Quirumbay RA,5,Baquerizo Quirumbay RA,Journal Article; Review,True,False,False,False,False,dosing_protocol_variants; guidelines_consensus_reviews; master_tms_not_animal_only; mechanisms_neuroplasticity; safety_side_effects_sensations; technician_equipment_localization,https://pubmed.ncbi.nlm.nih.gov/42192794/
42192357,Digital and repetitive transcranial magnetic stimulation interventions for perinatal depression and anxiety: a systematic review.,2026,2026 May 26,2026 May 26,BMC psychiatry,BMC Psychiatry,,,,10.1186/s12888-026-07948-8,,Khalesi ZB; Abedinzade M; Dalili A,3,Dalili A,Journal Article; Systematic Review,True,False,False,False,False,clinical_depression_protocols; guidelines_consensus_reviews; master_tms_not_animal_only; medication_sleep_caffeine_state; patient_experience_adherence_state; psychiatric_indications; safety_side_effects_sensations,https://pubmed.ncbi.nlm.nih.gov/42192357/
42191032,"Network dysregulation in depression: A synthesis of HPA Axis, BDNF signaling, and neurotransmitter interactions across multidimensional systems.",2026,2026 May 25,2026 May 25,"Pharmacology, biochemistry, and behavior",Pharmacol Biochem Behav,,,174215,10.1016/j.pbb.2026.174215,,He M; Shi Z; Zhan R; Zhuang Z; Li X; Xue W,6,Xue W,Journal Article; Review,True,False,False,False,False,clinical_depression_protocols; fnirs_eeg_qeeg_biomarkers; guidelines_consensus_reviews; master_tms_not_animal_only; mechanisms_neuroplasticity; medication_sleep_caffeine_state; psychiatric_indications; technician_equipment_localization,https://pubmed.ncbi.nlm.nih.gov/42191032/
42190714,Broad vs. narrow focus: how frequency and focal size affect transcranial ultrasound stimulation in motor cortex.,2026,2026 May 26,2026 May 26,Journal of neural engineering,J Neural Eng,,,,10.1088/1741-2552/ae730a,,Zadeh AK; Coreas A; Shrestha S; Kathol I; Martino D; Pike GB; Pichardo S; Monchi O,8,Monchi O,Journal Article,False,False,False,False,False,dosing_protocol_variants; master_tms_not_animal_only; technician_equipment_localization,https://pubmed.ncbi.nlm.nih.gov/42190714/
42188681,Repetitive Transcranial Magnetic Stimulation in Migraine: Clinical Outcomes and Neurobiological Mechanisms-A Systematic Review.,2026,2026 Apr 27,2026 Apr 27,Neurology international,Neurol Int,18,5,,10.3390/neurolint18050080,PMC13210037,Zgarbura RC; Rizea LC; Dinca M; Pavel A; Parliteanu OA; Sabri J; Tudose C,7,Tudose C,Journal Article; Review,True,False,False,False,False,dosing_protocol_variants; guidelines_consensus_reviews; master_tms_not_animal_only; mechanisms_neuroplasticity; medication_sleep_caffeine_state; psychiatric_indications; safety_side_effects_sensations; technician_equipment_localization,https://pubmed.ncbi.nlm.nih.gov/42188681/
42188561,Effect of Power Output and Pedaling Cadence on Plantar Pressures in Professional Cyclists with Overuse Injuries.,2026,2026 May 6,2026 May 6,"Sports (Basel, Switzerland)",Sports (Basel),14,5,,10.3390/sports14050184,PMC13210673,Navarro-Martínez D; Zahonero J; Vera P; Martí-Martí J; Huertas F; Barrios C,6,Barrios C,Journal Article,False,False,False,False,False,dosing_protocol_variants; master_tms_not_animal_only,https://pubmed.ncbi.nlm.nih.gov/42188561/
42186059,Correction: Repetitive transcranial magnetic stimulation influences cognitive-motor dual-task performance in children with cerebral palsy: a randomized controlled study.,2026,2026 May 25,2026 May 25,Journal of neuroengineering and rehabilitation,J Neuroeng Rehabil,23,1,,10.1186/s12984-026-02027-1,PMC13200350,Zhao J; Peng T; Liu L; He L; Zhang J; Zhang Y; Hou Q; Zhou H; Yang X; Xu K,10,Xu K,Published Erratum,False,False,False,False,False,master_tms_not_animal_only,https://pubmed.ncbi.nlm.nih.gov/42186059/
42186052,Effectiveness of transcutaneous spinal direct current stimulation combined with exercise training in patients with anterior cruciate ligament reconstruction: study protocol for a randomized controlled trial.,2026,2026 May 26,2026 May 26,Trials,Trials,,,,10.1186/s13063-026-09810-4,,Ma J; Chen L; Tong S; Li G; Wu S; Luo Q; Yang X; Li H; Xiong J; Hong C; Duan C; Fu D,14,Hou J,Journal Article,False,False,False,False,False,dosing_protocol_variants; fnirs_eeg_qeeg_biomarkers; master_tms_not_animal_only; psychiatric_indications; safety_side_effects_sensations; technician_equipment_localization,https://pubmed.ncbi.nlm.nih.gov/42186052/
42185769,Effect of cerebellar vermis intermittent theta-burst stimulation on balance function in frail older adults: a randomized controlled trial.,2026,2026 May 26,2026 May 26,BMC geriatrics,BMC Geriatr,,,,10.1186/s12877-026-07684-4,,Tian X; Huang N; Shi Y; Zhao K; Chen Y; Tan H; Zheng L; Liu Z,8,Liu Z,Journal Article,False,False,False,False,False,dosing_protocol_variants; fnirs_eeg_qeeg_biomarkers; master_tms_not_animal_only; safety_side_effects_sensations; technician_equipment_localization,https://pubmed.ncbi.nlm.nih.gov/42185769/
42185052,Transcutaneous auricular vagus nerve stimulation during movement selectively activates motor circuitry without additional cortical or autonomic effects.,2026,2026 May 25,2026 May 25,The Journal of neuroscience : the official journal of the Society for Neuroscience,J Neurosci,,,,10.1523/JNEUROSCI.2251-25.2026,,Perrin C; Pallotti F; Weilenmann T; Lhoste C; Potok-Szybinska W; Zhang X; Wenderoth N; Lambercy O; Donegan D; Viskaitis P,10,Viskaitis P,Journal Article,False,False,False,False,False,dosing_protocol_variants; fnirs_eeg_qeeg_biomarkers; master_tms_not_animal_only; mechanisms_neuroplasticity,https://pubmed.ncbi.nlm.nih.gov/42185052/
42183812,Changing Sensory Eye Dominance With Theta Burst Stimulation Over Visual Cortex.,2026,2026 Apr 28,2026 Apr 28,Neuromodulation : journal of the International Neuromodulation Society,Neuromodulation,,,,10.1016/j.neurom.2026.04.010,,Wang J; Cheong AMY; Chang DHF,3,Chang DHF,Journal Article,False,False,False,False,False,dosing_protocol_variants; master_tms_not_animal_only; mechanisms_neuroplasticity; medication_sleep_caffeine_state,https://pubmed.ncbi.nlm.nih.gov/42183812/
42183538,"A prospective, single-center, quasi-experimental study protocol for evaluating the efficacy of stepwise Yalom group therapy in reducing depressive symptoms and interpersonal problems in Chinese female patients with depressive disorders.",2026,2026,2026 May 7,Frontiers in psychology,Front Psychol,17,,1831835,10.3389/fpsyg.2026.1831835,PMC13190584,Zhou Y; Du B; Hou J; Hou R; Yang H; Guo C; Yu Y; Zhang Y; Wang S; Zhang H; Yan F; Wang C,12,Wang C,Journal Article,False,False,False,False,False,clinical_depression_protocols; dosing_protocol_variants; master_tms_not_animal_only; patient_experience_adherence_state; psychiatric_indications,https://pubmed.ncbi.nlm.nih.gov/42183538/
42182564,"Transcranial magnetic stimulation from healthy brain aging to Alzheimer's disease: a review on mechanisms, therapeutic potential, and future clinical directions.",2026,2026,2026 May 8,Frontiers in aging neuroscience,Front Aging Neurosci,18,,1778992,10.3389/fnagi.2026.1778992,PMC13194513,Saleh Velez F; Cedeno-Bruzual M; Zuniga-Gutierrez M; Mercado Pena D; Ballard CL; Kong JS; Pinaffi-Langley ACDC; Owens CD; TucsekCardon Z; Szarvas Z; Muranyi M; Kaposzta Z,18,Pinto CB,Journal Article; Review,True,False,False,False,False,guidelines_consensus_reviews; master_tms_not_animal_only; mechanisms_neuroplasticity,https://pubmed.ncbi.nlm.nih.gov/42182564/
42182375,Cellular Mechanisms of Transcranial Magnetic Stimulation in Climbing Fibers and Purkinje Neurons in the Cerebellum.,2026,2026 May 14,2026 May 14,bioRxiv : the preprint server for biology,bioRxiv,,,,10.64898/2026.05.12.724125,PMC13192806,Okada Y; Dong C; Makaroff S; Sundaram P,4,Sundaram P,Journal Article; Preprint,False,False,False,False,False,master_tms_not_animal_only; mechanisms_neuroplasticity,https://pubmed.ncbi.nlm.nih.gov/42182375/
42182249,Cerebellar perturbation impairs human working memory and degrades spatial tuning throughout cortex.,2026,2026 May 21,2026 May 21,bioRxiv : the preprint server for biology,bioRxiv,,,,10.64898/2026.05.14.724968,PMC13192793,Brissenden JA; Vesia M; Lee T,3,Lee T,Journal Article; Preprint,False,False,False,False,False,fnirs_eeg_qeeg_biomarkers; master_tms_not_animal_only,https://pubmed.ncbi.nlm.nih.gov/42182249/
42180209,Prognostic accuracy of transcranial magnetic stimulation-induced motor evoked potentials on recovery of upper limb: a systematic review.,2026,2026,2026 May 7,Frontiers in neurology,Front Neurol,17,,1788829,10.3389/fneur.2026.1788829,PMC13192014,Schilder JCM; Hoonhorst MHJ; de Vries R; Kwakkel G,4,Kwakkel G,Journal Article; Systematic Review,True,False,False,False,False,guidelines_consensus_reviews; master_tms_not_animal_only,https://pubmed.ncbi.nlm.nih.gov/42180209/
42180178,Network-based near-scalp personalized brain stimulation targets.,2026,2026,2026 May 21,"Imaging neuroscience (Cambridge, Mass.)",Imaging Neurosci (Camb),4,,,10.1162/IMAG.a.1222,PMC13195926,Kong R; Xue A; Cheng J; Ooi LQR; Asplund CL; Tan XW; Goh SE; Lee JJ; Koh JZJ; Tan RSY; Singh HKG; Tan TWK,18,Yeo BTT,Journal Article,False,False,False,False,False,dosing_protocol_variants; master_tms_not_animal_only; mechanisms_neuroplasticity; patient_experience_adherence_state; psychiatric_indications; technician_equipment_localization,https://pubmed.ncbi.nlm.nih.gov/42180178/
42180005,Virtual reality-based inhibition training influences food-related responses: no additional effects of repetitive transcranial magnetic stimulation.,2026,2026,2026 May 8,Frontiers in psychiatry,Front Psychiatry,17,,1801985,10.3389/fpsyt.2026.1801985,PMC13194486,Kim HH; Yoon H; Kim SH,3,Kim SH,Journal Article,False,False,False,False,False,dosing_protocol_variants; master_tms_not_animal_only; technician_equipment_localization,https://pubmed.ncbi.nlm.nih.gov/42180005/
42179725,Non-invasive neuroregulation techniques applied to patients with consciousness disorders: a narrative review.,2026,2026,2026 May 8,Frontiers in human neuroscience,Front Hum Neurosci,20,,1790010,10.3389/fnhum.2026.1790010,PMC13194118,Cao Z; Du H; Zhou Y; Mei S; Xia Z; Wang Y,6,Wang Y,Journal Article; Review,True,False,False,False,False,dosing_protocol_variants; fnirs_eeg_qeeg_biomarkers; guidelines_consensus_reviews; master_tms_not_animal_only; mechanisms_neuroplasticity; safety_side_effects_sensations; technician_equipment_localization,https://pubmed.ncbi.nlm.nih.gov/42179725/
42178348,Repetitive transcranial magnetic stimulation is associated with improved functional recovery and time-dependent changes in apoptosis-related execution-phase markers after spinal cord injury.,2026,2026 May 24,2026 May 24,Scientific reports,Sci Rep,,,,10.1038/s41598-026-52917-6,,Hu D; Xu Q; Lei Q; Hu M; Chen H; Li J; Chen Y; Gao X,8,Gao X,Journal Article,False,False,False,False,False,master_tms_not_animal_only; technician_equipment_localization,https://pubmed.ncbi.nlm.nih.gov/42178348/
42178189,The Relationship Between the Cortico-Diaphragmatic Conduction Pathway and Cardiopulmonary Function in Healthy Individuals.,2026,2026 May,,The clinical respiratory journal,Clin Respir J,20,5,e70198,10.1111/crj.70198,,Wang LP; Chen J; Wu C; Yao ST; Tan JZ; Guo S; Ding Q; Xu GQ,8,Xu GQ,Journal Article,False,False,False,False,False,master_tms_not_animal_only; medication_sleep_caffeine_state; technician_equipment_localization,https://pubmed.ncbi.nlm.nih.gov/42178189/
42177149,"Confounding factors in the comparison of iTBS protocols - Comments on Ramdeo et al.: ""Waveform matters"".",2026,2026 May 19,2026 May 19,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,Clin Neurophysiol,,,2111935,10.1016/j.clinph.2026.2111935,,Han T; Chen Y; Paulus W; Möhwald K,4,Möhwald K,Letter,False,False,False,False,False,dosing_protocol_variants; master_tms_not_animal_only,https://pubmed.ncbi.nlm.nih.gov/42177149/
42176505,Modulating cortical inhibition in Functional Gait Disorder - Neurophysiological evidence from low-frequency rTMS.,2026,2026 May 6,2026 May 6,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,Clin Neurophysiol,188,,2111923,10.1016/j.clinph.2026.2111923,,Banerjee S; Choudhury S; Santra D; Kumar P; Karmakar S; Mukherjee S; Ganguly J; Basu P; Baker MR; Baker SN; Kumar H,11,Kumar H,Letter,False,False,False,False,False,dosing_protocol_variants; master_tms_not_animal_only,https://pubmed.ncbi.nlm.nih.gov/42176505/
42175974,Anodal Transcranial Pulsed Current Stimulation at Alpha-Gamma Frequencies: Effects on Corticospinal and Cortico-Cortical Excitability.,2026,2026 May 23,2026 May 23,Neuromodulation : journal of the International Neuromodulation Society,Neuromodulation,,,,10.1016/j.neurom.2026.03.014,,Malekahmad M; Frazer AK; Zoghi M; Jaberzadeh S,4,Jaberzadeh S,Journal Article,False,False,False,False,False,master_tms_not_animal_only; mechanisms_neuroplasticity; medication_sleep_caffeine_state; safety_side_effects_sensations,https://pubmed.ncbi.nlm.nih.gov/42175974/
42175740,Prior Expectations Bias Confidence Judgments Through Parietal Alpha-Band Modulation.,2026,2026 May 23,2026 May 23,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",Adv Sci (Weinh),,,e19417,10.1002/advs.202519417,,Tarasi L; Pasini A; Romanazzi D; Covelli M; Romei V,5,Romei V,Journal Article,False,False,False,False,False,dosing_protocol_variants; master_tms_not_animal_only; mechanisms_neuroplasticity; technician_equipment_localization,https://pubmed.ncbi.nlm.nih.gov/42175740/
42173311,Dose-response associations of total pulse dose and intersession interval with clinical outcomes in accelerated rTMS for major depressive episodes: A systematic review and meta-analysis.,2026,2026 May 22,2026 May 22,Brain stimulation,Brain Stimul,19,4,103129,10.1016/j.brs.2026.103129,,Wang VX; Mehta DD; Downar J; Tang VM; Li CT; Le Foll B,6,Le Foll B,Journal Article,False,False,False,False,False,clinical_depression_protocols; dosing_protocol_variants; master_tms_not_animal_only; medication_sleep_caffeine_state; psychiatric_indications,https://pubmed.ncbi.nlm.nih.gov/42173311/
42173046,"A Randomized, Double-Blind, Pilot Study of N-Acetylcysteine for Motor and Cognitive Symptoms in Youth With Neurofibromatosis Type 1.",2026,2026 May 5,2026 May 5,Pediatric neurology,Pediatr Neurol,180,,129-137,10.1016/j.pediatrneurol.2026.04.024,,Gilbert DL; Aschbacher-Smith LE; Migneault KY; Huddleston DA; Cecil KM; Beebe DW; Zhang B; Ratner N; Prada CE,9,Prada CE,Journal Article,False,False,False,False,False,dosing_protocol_variants; fnirs_eeg_qeeg_biomarkers; master_tms_not_animal_only; patient_experience_adherence_state; safety_side_effects_sensations; technician_equipment_localization,https://pubmed.ncbi.nlm.nih.gov/42173046/
42172198,Effects of different intensities of repetitive peripheral magnetic stimulation on corticospinal excitability and motor performance in healthy humans.,2026,2026,2026 May 22,PloS one,PLoS One,21,5,e0349300,10.1371/journal.pone.0349300,PMC13196937,Omiya A; Shitara K; Miyazaki D; Nito M,4,Nito M,Journal Article,False,False,False,False,False,master_tms_not_animal_only; mechanisms_neuroplasticity,https://pubmed.ncbi.nlm.nih.gov/42172198/
42171551,Phase-Dependent Cerebellar Contributions to Visual Working Memory: An Online Triple-Pulse Transcranial Magnetic Stimulation Study.,2026,2026 Apr 20,2026 Apr 20,Neuromodulation : journal of the International Neuromodulation Society,Neuromodulation,,,,10.1016/j.neurom.2026.04.005,,Fajea AA; Bashir S; Abualait T,3,Abualait T,Journal Article,False,False,False,False,False,master_tms_not_animal_only; mechanisms_neuroplasticity,https://pubmed.ncbi.nlm.nih.gov/42171551/
