pmid,query_lanes,lane_count,pubmed_url
42176505,dosing_protocol_variants; master_tms_not_animal_only,2,https://pubmed.ncbi.nlm.nih.gov/42176505/
42175974,master_tms_not_animal_only; mechanisms_neuroplasticity; medication_sleep_caffeine_state; safety_side_effects_sensations,4,https://pubmed.ncbi.nlm.nih.gov/42175974/
42175740,dosing_protocol_variants; master_tms_not_animal_only; mechanisms_neuroplasticity; technician_equipment_localization,4,https://pubmed.ncbi.nlm.nih.gov/42175740/
42173311,clinical_depression_protocols; dosing_protocol_variants; master_tms_not_animal_only; medication_sleep_caffeine_state; psychiatric_indications,5,https://pubmed.ncbi.nlm.nih.gov/42173311/
42173046,dosing_protocol_variants; fnirs_eeg_qeeg_biomarkers; master_tms_not_animal_only; patient_experience_adherence_state; safety_side_effects_sensations; technician_equipment_localization,6,https://pubmed.ncbi.nlm.nih.gov/42173046/
42172198,master_tms_not_animal_only; mechanisms_neuroplasticity,2,https://pubmed.ncbi.nlm.nih.gov/42172198/
42171551,master_tms_not_animal_only; mechanisms_neuroplasticity,2,https://pubmed.ncbi.nlm.nih.gov/42171551/
42171529,guidelines_consensus_reviews; master_tms_not_animal_only; medication_sleep_caffeine_state; psychiatric_indications; safety_side_effects_sensations,5,https://pubmed.ncbi.nlm.nih.gov/42171529/
42168052,master_tms_not_animal_only; mechanisms_neuroplasticity; safety_side_effects_sensations,3,https://pubmed.ncbi.nlm.nih.gov/42168052/
42167925,dosing_protocol_variants; guidelines_consensus_reviews; master_tms_not_animal_only; psychiatric_indications; safety_side_effects_sensations; technician_equipment_localization,6,https://pubmed.ncbi.nlm.nih.gov/42167925/
42167498,dosing_protocol_variants; fnirs_eeg_qeeg_biomarkers; master_tms_not_animal_only; mechanisms_neuroplasticity; psychiatric_indications; technician_equipment_localization,6,https://pubmed.ncbi.nlm.nih.gov/42167498/
42166859,master_tms_not_animal_only; mechanisms_neuroplasticity; medication_sleep_caffeine_state; psychiatric_indications; safety_side_effects_sensations; technician_equipment_localization,6,https://pubmed.ncbi.nlm.nih.gov/42166859/
42166849,master_tms_not_animal_only,1,https://pubmed.ncbi.nlm.nih.gov/42166849/
42166618,master_tms_not_animal_only; safety_side_effects_sensations; technician_equipment_localization,3,https://pubmed.ncbi.nlm.nih.gov/42166618/
42166488,dosing_protocol_variants; fnirs_eeg_qeeg_biomarkers; master_tms_not_animal_only; mechanisms_neuroplasticity; medication_sleep_caffeine_state; technician_equipment_localization,6,https://pubmed.ncbi.nlm.nih.gov/42166488/
42165626,master_tms_not_animal_only; mechanisms_neuroplasticity; technician_equipment_localization,3,https://pubmed.ncbi.nlm.nih.gov/42165626/
42165061,dosing_protocol_variants; fnirs_eeg_qeeg_biomarkers; master_tms_not_animal_only; technician_equipment_localization,4,https://pubmed.ncbi.nlm.nih.gov/42165061/
42164248,clinical_depression_protocols; dosing_protocol_variants; master_tms_not_animal_only; medication_sleep_caffeine_state; patient_experience_adherence_state; psychiatric_indications; safety_side_effects_sensations; technician_equipment_localization,8,https://pubmed.ncbi.nlm.nih.gov/42164248/
42164210,clinical_depression_protocols; dosing_protocol_variants; guidelines_consensus_reviews; master_tms_not_animal_only; medication_sleep_caffeine_state; psychiatric_indications; safety_side_effects_sensations,7,https://pubmed.ncbi.nlm.nih.gov/42164210/
42163441,master_tms_not_animal_only; safety_side_effects_sensations,2,https://pubmed.ncbi.nlm.nih.gov/42163441/
42162266,clinical_depression_protocols; dosing_protocol_variants; master_tms_not_animal_only; medication_sleep_caffeine_state; psychiatric_indications; technician_equipment_localization,6,https://pubmed.ncbi.nlm.nih.gov/42162266/
42161537,dosing_protocol_variants; fnirs_eeg_qeeg_biomarkers; master_tms_not_animal_only,3,https://pubmed.ncbi.nlm.nih.gov/42161537/
42160573,dosing_protocol_variants; guidelines_consensus_reviews; master_tms_not_animal_only; mechanisms_neuroplasticity; patient_experience_adherence_state; safety_side_effects_sensations,6,https://pubmed.ncbi.nlm.nih.gov/42160573/
42160055,clinical_depression_protocols; dosing_protocol_variants; fnirs_eeg_qeeg_biomarkers; master_tms_not_animal_only; mechanisms_neuroplasticity; medication_sleep_caffeine_state; patient_experience_adherence_state; psychiatric_indications; technician_equipment_localization,9,https://pubmed.ncbi.nlm.nih.gov/42160055/
42158150,dosing_protocol_variants; guidelines_consensus_reviews; master_tms_not_animal_only; medication_sleep_caffeine_state; psychiatric_indications; safety_side_effects_sensations; technician_equipment_localization,7,https://pubmed.ncbi.nlm.nih.gov/42158150/
42157607,dosing_protocol_variants; master_tms_not_animal_only; mechanisms_neuroplasticity; medication_sleep_caffeine_state,4,https://pubmed.ncbi.nlm.nih.gov/42157607/
42155865,dosing_protocol_variants; fnirs_eeg_qeeg_biomarkers; master_tms_not_animal_only; mechanisms_neuroplasticity; patient_experience_adherence_state; psychiatric_indications,6,https://pubmed.ncbi.nlm.nih.gov/42155865/
42155793,guidelines_consensus_reviews; master_tms_not_animal_only; mechanisms_neuroplasticity; medication_sleep_caffeine_state; psychiatric_indications; safety_side_effects_sensations; technician_equipment_localization,7,https://pubmed.ncbi.nlm.nih.gov/42155793/
42155598,master_tms_not_animal_only; mechanisms_neuroplasticity,2,https://pubmed.ncbi.nlm.nih.gov/42155598/
42155351,clinical_depression_protocols; dosing_protocol_variants; guidelines_consensus_reviews; master_tms_not_animal_only; psychiatric_indications; safety_side_effects_sensations,6,https://pubmed.ncbi.nlm.nih.gov/42155351/
42154469,clinical_depression_protocols; dosing_protocol_variants; master_tms_not_animal_only; psychiatric_indications; safety_side_effects_sensations; technician_equipment_localization,6,https://pubmed.ncbi.nlm.nih.gov/42154469/
42153515,dosing_protocol_variants; master_tms_not_animal_only; mechanisms_neuroplasticity; medication_sleep_caffeine_state; patient_experience_adherence_state; psychiatric_indications; safety_side_effects_sensations,7,https://pubmed.ncbi.nlm.nih.gov/42153515/
42153440,guidelines_consensus_reviews; master_tms_not_animal_only; mechanisms_neuroplasticity; technician_equipment_localization,4,https://pubmed.ncbi.nlm.nih.gov/42153440/
42153185,dosing_protocol_variants; fnirs_eeg_qeeg_biomarkers; master_tms_not_animal_only; mechanisms_neuroplasticity; medication_sleep_caffeine_state,5,https://pubmed.ncbi.nlm.nih.gov/42153185/
42152687,fnirs_eeg_qeeg_biomarkers; master_tms_not_animal_only; mechanisms_neuroplasticity; medication_sleep_caffeine_state; safety_side_effects_sensations; technician_equipment_localization,6,https://pubmed.ncbi.nlm.nih.gov/42152687/
42148834,dosing_protocol_variants; master_tms_not_animal_only; safety_side_effects_sensations,3,https://pubmed.ncbi.nlm.nih.gov/42148834/
42148604,master_tms_not_animal_only; mechanisms_neuroplasticity; technician_equipment_localization,3,https://pubmed.ncbi.nlm.nih.gov/42148604/
42145912,fnirs_eeg_qeeg_biomarkers; master_tms_not_animal_only; technician_equipment_localization,3,https://pubmed.ncbi.nlm.nih.gov/42145912/
42145810,master_tms_not_animal_only; technician_equipment_localization,2,https://pubmed.ncbi.nlm.nih.gov/42145810/
42142853,master_tms_not_animal_only; technician_equipment_localization,2,https://pubmed.ncbi.nlm.nih.gov/42142853/
42142824,master_tms_not_animal_only; mechanisms_neuroplasticity; psychiatric_indications; safety_side_effects_sensations,4,https://pubmed.ncbi.nlm.nih.gov/42142824/
42142798,dosing_protocol_variants; fnirs_eeg_qeeg_biomarkers; master_tms_not_animal_only; mechanisms_neuroplasticity; medication_sleep_caffeine_state; technician_equipment_localization,6,https://pubmed.ncbi.nlm.nih.gov/42142798/
42142448,master_tms_not_animal_only; mechanisms_neuroplasticity; medication_sleep_caffeine_state; technician_equipment_localization,4,https://pubmed.ncbi.nlm.nih.gov/42142448/
42142281,dosing_protocol_variants; master_tms_not_animal_only; mechanisms_neuroplasticity; medication_sleep_caffeine_state,4,https://pubmed.ncbi.nlm.nih.gov/42142281/
42141937,dosing_protocol_variants; fnirs_eeg_qeeg_biomarkers; master_tms_not_animal_only; mechanisms_neuroplasticity; medication_sleep_caffeine_state; technician_equipment_localization,6,https://pubmed.ncbi.nlm.nih.gov/42141937/
42141758,master_tms_not_animal_only; mechanisms_neuroplasticity,2,https://pubmed.ncbi.nlm.nih.gov/42141758/
42140991,dosing_protocol_variants; master_tms_not_animal_only; technician_equipment_localization,3,https://pubmed.ncbi.nlm.nih.gov/42140991/
42140614,fnirs_eeg_qeeg_biomarkers; master_tms_not_animal_only,2,https://pubmed.ncbi.nlm.nih.gov/42140614/
42140174,master_tms_not_animal_only; mechanisms_neuroplasticity; technician_equipment_localization,3,https://pubmed.ncbi.nlm.nih.gov/42140174/
42138671,fnirs_eeg_qeeg_biomarkers; master_tms_not_animal_only; mechanisms_neuroplasticity; medication_sleep_caffeine_state; psychiatric_indications; safety_side_effects_sensations; technician_equipment_localization,7,https://pubmed.ncbi.nlm.nih.gov/42138671/
42138594,dosing_protocol_variants; master_tms_not_animal_only; safety_side_effects_sensations; technician_equipment_localization,4,https://pubmed.ncbi.nlm.nih.gov/42138594/
42137738,master_tms_not_animal_only; technician_equipment_localization,2,https://pubmed.ncbi.nlm.nih.gov/42137738/
42137718,master_tms_not_animal_only,1,https://pubmed.ncbi.nlm.nih.gov/42137718/
42137640,dosing_protocol_variants; master_tms_not_animal_only; mechanisms_neuroplasticity; medication_sleep_caffeine_state; technician_equipment_localization,5,https://pubmed.ncbi.nlm.nih.gov/42137640/
42136989,guidelines_consensus_reviews; master_tms_not_animal_only; mechanisms_neuroplasticity; medication_sleep_caffeine_state; patient_experience_adherence_state; psychiatric_indications; technician_equipment_localization,7,https://pubmed.ncbi.nlm.nih.gov/42136989/
42135862,master_tms_not_animal_only; medication_sleep_caffeine_state; patient_experience_adherence_state; psychiatric_indications; technician_equipment_localization,5,https://pubmed.ncbi.nlm.nih.gov/42135862/
42134622,clinical_depression_protocols; dosing_protocol_variants; guidelines_consensus_reviews; master_tms_not_animal_only; medication_sleep_caffeine_state; psychiatric_indications; safety_side_effects_sensations,7,https://pubmed.ncbi.nlm.nih.gov/42134622/
42134605,master_tms_not_animal_only; mechanisms_neuroplasticity; medication_sleep_caffeine_state; technician_equipment_localization,4,https://pubmed.ncbi.nlm.nih.gov/42134605/
42134566,clinical_depression_protocols; fnirs_eeg_qeeg_biomarkers; guidelines_consensus_reviews; master_tms_not_animal_only; mechanisms_neuroplasticity; medication_sleep_caffeine_state; psychiatric_indications,7,https://pubmed.ncbi.nlm.nih.gov/42134566/
42134302,dosing_protocol_variants; master_tms_not_animal_only; mechanisms_neuroplasticity; medication_sleep_caffeine_state,4,https://pubmed.ncbi.nlm.nih.gov/42134302/
42134055,master_tms_not_animal_only; technician_equipment_localization,2,https://pubmed.ncbi.nlm.nih.gov/42134055/
42133226,master_tms_not_animal_only,1,https://pubmed.ncbi.nlm.nih.gov/42133226/
42132132,dosing_protocol_variants; fnirs_eeg_qeeg_biomarkers; master_tms_not_animal_only; mechanisms_neuroplasticity; medication_sleep_caffeine_state; safety_side_effects_sensations; technician_equipment_localization,7,https://pubmed.ncbi.nlm.nih.gov/42132132/
42132124,guidelines_consensus_reviews; master_tms_not_animal_only; mechanisms_neuroplasticity; safety_side_effects_sensations; technician_equipment_localization,5,https://pubmed.ncbi.nlm.nih.gov/42132124/
42130669,guidelines_consensus_reviews; master_tms_not_animal_only; mechanisms_neuroplasticity; safety_side_effects_sensations; technician_equipment_localization,5,https://pubmed.ncbi.nlm.nih.gov/42130669/
42130308,dosing_protocol_variants; master_tms_not_animal_only; mechanisms_neuroplasticity; psychiatric_indications; technician_equipment_localization,5,https://pubmed.ncbi.nlm.nih.gov/42130308/
42129973,dosing_protocol_variants; fnirs_eeg_qeeg_biomarkers; master_tms_not_animal_only; medication_sleep_caffeine_state; safety_side_effects_sensations; technician_equipment_localization,6,https://pubmed.ncbi.nlm.nih.gov/42129973/
42127355,clinical_depression_protocols; master_tms_not_animal_only; medication_sleep_caffeine_state; patient_experience_adherence_state; psychiatric_indications,5,https://pubmed.ncbi.nlm.nih.gov/42127355/
42125457,dosing_protocol_variants; master_tms_not_animal_only; medication_sleep_caffeine_state; patient_experience_adherence_state; psychiatric_indications; safety_side_effects_sensations; technician_equipment_localization,7,https://pubmed.ncbi.nlm.nih.gov/42125457/
42124493,master_tms_not_animal_only; psychiatric_indications,2,https://pubmed.ncbi.nlm.nih.gov/42124493/
42123695,dosing_protocol_variants; guidelines_consensus_reviews; master_tms_not_animal_only; mechanisms_neuroplasticity,4,https://pubmed.ncbi.nlm.nih.gov/42123695/
42123126,dosing_protocol_variants; guidelines_consensus_reviews; master_tms_not_animal_only; psychiatric_indications; safety_side_effects_sensations,5,https://pubmed.ncbi.nlm.nih.gov/42123126/
42122201,dosing_protocol_variants; master_tms_not_animal_only; mechanisms_neuroplasticity,3,https://pubmed.ncbi.nlm.nih.gov/42122201/
42121685,dosing_protocol_variants; master_tms_not_animal_only; patient_experience_adherence_state; psychiatric_indications; safety_side_effects_sensations,5,https://pubmed.ncbi.nlm.nih.gov/42121685/
42119897,dosing_protocol_variants; master_tms_not_animal_only; mechanisms_neuroplasticity; medication_sleep_caffeine_state; technician_equipment_localization,5,https://pubmed.ncbi.nlm.nih.gov/42119897/
42119311,master_tms_not_animal_only; mechanisms_neuroplasticity; medication_sleep_caffeine_state,3,https://pubmed.ncbi.nlm.nih.gov/42119311/
42119310,dosing_protocol_variants; master_tms_not_animal_only; mechanisms_neuroplasticity; medication_sleep_caffeine_state,4,https://pubmed.ncbi.nlm.nih.gov/42119310/
42118877,clinical_depression_protocols; guidelines_consensus_reviews; master_tms_not_animal_only; medication_sleep_caffeine_state; psychiatric_indications; safety_side_effects_sensations,6,https://pubmed.ncbi.nlm.nih.gov/42118877/
42117419,guidelines_consensus_reviews; master_tms_not_animal_only; mechanisms_neuroplasticity; psychiatric_indications,4,https://pubmed.ncbi.nlm.nih.gov/42117419/
42116923,guidelines_consensus_reviews; master_tms_not_animal_only; medication_sleep_caffeine_state; safety_side_effects_sensations,4,https://pubmed.ncbi.nlm.nih.gov/42116923/
42116894,clinical_depression_protocols; guidelines_consensus_reviews; master_tms_not_animal_only; psychiatric_indications; safety_side_effects_sensations,5,https://pubmed.ncbi.nlm.nih.gov/42116894/
42115691,dosing_protocol_variants; master_tms_not_animal_only; mechanisms_neuroplasticity,3,https://pubmed.ncbi.nlm.nih.gov/42115691/
42115366,clinical_depression_protocols; dosing_protocol_variants; fnirs_eeg_qeeg_biomarkers; master_tms_not_animal_only; mechanisms_neuroplasticity; medication_sleep_caffeine_state; patient_experience_adherence_state; psychiatric_indications; safety_side_effects_sensations; technician_equipment_localization,10,https://pubmed.ncbi.nlm.nih.gov/42115366/
42115099,fnirs_eeg_qeeg_biomarkers; master_tms_not_animal_only; mechanisms_neuroplasticity; psychiatric_indications; safety_side_effects_sensations,5,https://pubmed.ncbi.nlm.nih.gov/42115099/
42114660,master_tms_not_animal_only; mechanisms_neuroplasticity; medication_sleep_caffeine_state,3,https://pubmed.ncbi.nlm.nih.gov/42114660/
42114208,dosing_protocol_variants; fnirs_eeg_qeeg_biomarkers; master_tms_not_animal_only; mechanisms_neuroplasticity; technician_equipment_localization,5,https://pubmed.ncbi.nlm.nih.gov/42114208/
42112531,master_tms_not_animal_only; mechanisms_neuroplasticity; psychiatric_indications; technician_equipment_localization,4,https://pubmed.ncbi.nlm.nih.gov/42112531/
42110902,guidelines_consensus_reviews; master_tms_not_animal_only; medication_sleep_caffeine_state,3,https://pubmed.ncbi.nlm.nih.gov/42110902/
42110719,dosing_protocol_variants; fnirs_eeg_qeeg_biomarkers; master_tms_not_animal_only,3,https://pubmed.ncbi.nlm.nih.gov/42110719/
42110448,dosing_protocol_variants; guidelines_consensus_reviews; master_tms_not_animal_only; medication_sleep_caffeine_state; patient_experience_adherence_state; psychiatric_indications; safety_side_effects_sensations,7,https://pubmed.ncbi.nlm.nih.gov/42110448/
42109284,fnirs_eeg_qeeg_biomarkers; guidelines_consensus_reviews; master_tms_not_animal_only; mechanisms_neuroplasticity; psychiatric_indications; technician_equipment_localization,6,https://pubmed.ncbi.nlm.nih.gov/42109284/
42107474,dosing_protocol_variants; fnirs_eeg_qeeg_biomarkers; master_tms_not_animal_only; mechanisms_neuroplasticity; technician_equipment_localization,5,https://pubmed.ncbi.nlm.nih.gov/42107474/
42107135,dosing_protocol_variants; master_tms_not_animal_only,2,https://pubmed.ncbi.nlm.nih.gov/42107135/
42106690,master_tms_not_animal_only; mechanisms_neuroplasticity; technician_equipment_localization,3,https://pubmed.ncbi.nlm.nih.gov/42106690/
42105904,dosing_protocol_variants; master_tms_not_animal_only; mechanisms_neuroplasticity,3,https://pubmed.ncbi.nlm.nih.gov/42105904/
42105452,master_tms_not_animal_only; psychiatric_indications; safety_side_effects_sensations; technician_equipment_localization,4,https://pubmed.ncbi.nlm.nih.gov/42105452/
42105161,fnirs_eeg_qeeg_biomarkers; master_tms_not_animal_only; mechanisms_neuroplasticity,3,https://pubmed.ncbi.nlm.nih.gov/42105161/
42103041,fnirs_eeg_qeeg_biomarkers; guidelines_consensus_reviews; master_tms_not_animal_only,3,https://pubmed.ncbi.nlm.nih.gov/42103041/
42103005,dosing_protocol_variants; fnirs_eeg_qeeg_biomarkers; master_tms_not_animal_only; technician_equipment_localization,4,https://pubmed.ncbi.nlm.nih.gov/42103005/
42102818,dosing_protocol_variants; fnirs_eeg_qeeg_biomarkers; master_tms_not_animal_only; mechanisms_neuroplasticity; medication_sleep_caffeine_state; psychiatric_indications; technician_equipment_localization,7,https://pubmed.ncbi.nlm.nih.gov/42102818/
42102545,dosing_protocol_variants; master_tms_not_animal_only; mechanisms_neuroplasticity,3,https://pubmed.ncbi.nlm.nih.gov/42102545/
42102542,dosing_protocol_variants; master_tms_not_animal_only; mechanisms_neuroplasticity; technician_equipment_localization,4,https://pubmed.ncbi.nlm.nih.gov/42102542/
42102424,guidelines_consensus_reviews; master_tms_not_animal_only; mechanisms_neuroplasticity; technician_equipment_localization,4,https://pubmed.ncbi.nlm.nih.gov/42102424/
42100721,guidelines_consensus_reviews; master_tms_not_animal_only; safety_side_effects_sensations,3,https://pubmed.ncbi.nlm.nih.gov/42100721/
42100573,dosing_protocol_variants; fnirs_eeg_qeeg_biomarkers; master_tms_not_animal_only; mechanisms_neuroplasticity; medication_sleep_caffeine_state; technician_equipment_localization,6,https://pubmed.ncbi.nlm.nih.gov/42100573/
42100484,dosing_protocol_variants; master_tms_not_animal_only; mechanisms_neuroplasticity,3,https://pubmed.ncbi.nlm.nih.gov/42100484/
42099977,dosing_protocol_variants; fnirs_eeg_qeeg_biomarkers; guidelines_consensus_reviews; master_tms_not_animal_only; mechanisms_neuroplasticity,5,https://pubmed.ncbi.nlm.nih.gov/42099977/
42099304,fnirs_eeg_qeeg_biomarkers; master_tms_not_animal_only; mechanisms_neuroplasticity; technician_equipment_localization,4,https://pubmed.ncbi.nlm.nih.gov/42099304/
42099152,dosing_protocol_variants; master_tms_not_animal_only; mechanisms_neuroplasticity,3,https://pubmed.ncbi.nlm.nih.gov/42099152/
42098884,dosing_protocol_variants; guidelines_consensus_reviews; master_tms_not_animal_only; patient_experience_adherence_state; psychiatric_indications; safety_side_effects_sensations,6,https://pubmed.ncbi.nlm.nih.gov/42098884/
42098265,master_tms_not_animal_only; mechanisms_neuroplasticity; psychiatric_indications; technician_equipment_localization,4,https://pubmed.ncbi.nlm.nih.gov/42098265/
42096892,clinical_depression_protocols; dosing_protocol_variants; fnirs_eeg_qeeg_biomarkers; master_tms_not_animal_only; mechanisms_neuroplasticity; medication_sleep_caffeine_state; patient_experience_adherence_state; psychiatric_indications,8,https://pubmed.ncbi.nlm.nih.gov/42096892/
42096636,dosing_protocol_variants; master_tms_not_animal_only; mechanisms_neuroplasticity; medication_sleep_caffeine_state; psychiatric_indications; safety_side_effects_sensations,6,https://pubmed.ncbi.nlm.nih.gov/42096636/
42094131,dosing_protocol_variants; fnirs_eeg_qeeg_biomarkers; master_tms_not_animal_only,3,https://pubmed.ncbi.nlm.nih.gov/42094131/
42093848,master_tms_not_animal_only; mechanisms_neuroplasticity; medication_sleep_caffeine_state; safety_side_effects_sensations,4,https://pubmed.ncbi.nlm.nih.gov/42093848/
42093824,dosing_protocol_variants; master_tms_not_animal_only; technician_equipment_localization,3,https://pubmed.ncbi.nlm.nih.gov/42093824/
42092539,master_tms_not_animal_only,1,https://pubmed.ncbi.nlm.nih.gov/42092539/
